Year,Entidad federativa,GeoCode,Value
2021,Estados Unidos Mexicanos,0,10.311589136363
2016,Estados Unidos Mexicanos,0,10.6807989331763
2021,Aguascalientes,1,11.6181325999021
2016,Aguascalientes,1,12.5936156554555
2021,Baja California,2,8.1547752941238
2016,Baja California,2,11.3800355009193
2021,Baja California Sur,3,12.2980990195497
2016,Baja California Sur,3,11.77869339729
2021,Campeche,4,9.86337603659956
2016,Campeche,4,10.3728907474265
2021,Coahuila de Zaragoza,5,11.7460265374794
2016,Coahuila de Zaragoza,5,11.4306176749045
2021,Colima,6,10.2564250883576
2016,Colima,6,11.0243523270296
2021,Chiapas,7,7.30825028683045
2016,Chiapas,7,7.83227876431009
2021,Chihuahua,8,11.0983747543927
2016,Chihuahua,8,11.2570062004065
2021,Ciudad de México,9,11.6314339726141
2016,Ciudad de México,9,15.2617950736554
2021,Durango,10,10.3857085763634
2016,Durango,10,10.0703081993715
2021,Guanajuato,11,9.3208211592077
2016,Guanajuato,11,8.53515442127135
2021,Guerrero,12,10.1553927353193
2016,Guerrero,12,7.56798706867788
2021,Hidalgo,13,14.4952183298424
2016,Hidalgo,13,8.71652203353588
2021,Jalisco,14,10.5829874630953
2016,Jalisco,14,10.3216461856298
2021,México,15,8.58437283848942
2016,México,15,10.208665680412
2021,Michoacán de Ocampo,16,9.22359164630898
2016,Michoacán de Ocampo,16,8.35832700673458
2021,Morelos,17,12.107462065115
2016,Morelos,17,10.7325809126678
2021,Nayarit,18,9.28666700866978
2016,Nayarit,18,8.76126483177445
2021,Nuevo León,19,10.6287543747641
2016,Nuevo León,19,8.73541884334091
2021,Oaxaca,20,11.6101365453535
2016,Oaxaca,20,12.3523637284203
2021,Puebla,21,8.2162571286983
2016,Puebla,21,11.3001047609822
2021,Querétaro,22,10.9909078629531
2016,Querétaro,22,12.6284222393056
2021,Quintana Roo,23,13.1631527303971
2016,Quintana Roo,23,10.91481240108
2021,San Luis Potosí,24,7.91965082689645
2016,San Luis Potosí,24,10.4163953930722
2021,Sinaloa,25,10.6363235042389
2016,Sinaloa,25,10.8795446834733
2021,Sonora,26,11.8342335512808
2016,Sonora,26,11.4998559216214
2021,Tabasco,27,11.9536033108732
2016,Tabasco,27,9.32279539566458
2021,Tamaulipas,28,9.22295754629004
2016,Tamaulipas,28,7.06185517446948
2021,Tlaxcala,29,10.6666167468504
2016,Tlaxcala,29,10.182687822063
2021,Veracruz de Ignacio de la Llave,30,11.888982166496
2016,Veracruz de Ignacio de la Llave,30,9.21117354888238
2021,Yucatán,31,13.7886078303146
2016,Yucatán,31,11.5713069263014
2021,Zacatecas,32,10.3000960143817
2016,Zacatecas,32,10.3793142088749
