Year,Entidad federativa,Sexo (t-h-m-na),Intoxicaciones_grupo de edad,GeoCode,Value
2011,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.188217174655858
2010,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.161226756475941
2009,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.152050390572733
2008,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.125014845512905
2007,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.240795159125468
2006,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.133710539679806
2005,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.2319552219365409
2004,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.196708846408123
2003,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.170468334833903
2002,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.252274911539352
2001,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.316755898311582
2000,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.1998759678766609
1999,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.154980060903517
1998,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.274482664223893
2021,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.198620149707229
2020,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.298031690341822
2019,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.280283426217151
2018,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.307780018034099
2017,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.208325879644705
2016,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.280701703551474
2015,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.443147279003356
2014,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.288795579839253
2013,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.315243377344611
2012,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.36892513033405
2011,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.396328627771576
2010,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.4793393871184681
2009,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.41905173148076
2008,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.312786193617414
2007,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.520498049712397
2006,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.45968928381723
2005,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.425246366482422
2004,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.569821782539293
2003,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.496626568528163
2002,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.461880964037948
2001,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.55291605502349
2000,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.556232956217147
1999,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.685921663630483
1998,Estados Unidos Mexicanos,Total,De 15 a 19 años,0,0.875965370431484
2021,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.360330029045372
2020,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.636733604594153
2019,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.580091054038336
2018,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.321486908180492
2017,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.4493101164098319
2016,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.550163847963321
2015,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.496637945051978
2014,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.472110227184996
2013,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.514129926241051
2012,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.492057575656928
2011,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.556838470856274
2010,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.634096417969824
2009,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.545395606669811
2008,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.69585801108048
2007,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.768509946311895
2006,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.7480168981172929
2005,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.735390599039727
2004,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.657036489899124
2003,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.705313274508781
2002,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.80797442750164
2001,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.6719160651121351
2000,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.716294284080142
1999,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.933335735406699
1998,Estados Unidos Mexicanos,Total,De 20 a 24 años,0,0.990650868506882
2021,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.487312354286578
2020,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.497981717681762
2019,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.529325032130502
2018,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.534053695475144
2017,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.472572928129373
2016,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.547294770813474
2015,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.515709145199199
2014,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.453189228558132
2013,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.542565880038274
2012,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.541467677295261
2011,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.540440643510092
2010,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.528498813142665
2009,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.460738447449654
2008,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.66862335577159
2007,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.7226747910368901
2006,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.7868351755919619
2005,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.814540021219341
2004,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,1.082136210557
2003,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,1.06269778307381
2002,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.499024696848299
2001,Estados Unidos Mexicanos,Total,De 25 a 29 años,0,0.759408427844633
