Year,Entidad federativa,Sexo,Sexo_ Proporción plazas públicas,GeoCode,Value
2020,Federal,Mujeres,De 35 a 44 años,8001000,1.4879130485955403
2019,Federal,Mujeres,De 35 a 44 años,8001000,1.45709978589856
2018,Federal,Mujeres,De 35 a 44 años,8001000,1.42347156936515
2017,Federal,Mujeres,De 35 a 44 años,8001000,1.39588845180449
2016,Federal,Mujeres,De 35 a 44 años,8001000,1.3732655563571503
2015,Federal,Mujeres,De 35 a 44 años,8001000,
2020,Federal,Mujeres,De 45 a 54 años,8001000,1.4861447931828098
2019,Federal,Mujeres,De 45 a 54 años,8001000,1.51422595607732
2018,Federal,Mujeres,De 45 a 54 años,8001000,1.5521475841739605
2017,Federal,Mujeres,De 45 a 54 años,8001000,1.6413278694872202
2016,Federal,Mujeres,De 45 a 54 años,8001000,1.69893636003486
2015,Federal,Mujeres,De 45 a 54 años,8001000,
2020,Federal,Mujeres,De 55 a 59 años,8001000,1.02380571715773
2019,Federal,Mujeres,De 55 a 59 años,8001000,1.02933495608441
2018,Federal,Mujeres,De 55 a 59 años,8001000,1.0467251356677798
2017,Federal,Mujeres,De 55 a 59 años,8001000,1.16833966411064
2016,Federal,Mujeres,De 55 a 59 años,8001000,1.17831475900054
2015,Federal,Mujeres,De 55 a 59 años,8001000,
2020,Federal,Mujeres,De 60 años y más,8001000,0.499826748714851
2019,Federal,Mujeres,De 60 años y más,8001000,0.473424949365945
2018,Federal,Mujeres,De 60 años y más,8001000,0.459855347234539
2017,Federal,Mujeres,De 60 años y más,8001000,0.535799107757272
2016,Federal,Mujeres,De 60 años y más,8001000,0.485121927387547
2015,Federal,Mujeres,De 60 años y más,8001000,
2020,Estatal,Total,Total,8002000,1.0
2019,Estatal,Total,Total,8002000,1.0
2018,Estatal,Total,Total,8002000,1.0
2017,Estatal,Total,Total,8002000,1.0
2016,Estatal,Total,Total,8002000,1.0
2015,Estatal,Total,Total,8002000,1.0
2020,Estatal,Total,Menores de 25 años,8002000,0.171683807483771
2019,Estatal,Total,Menores de 25 años,8002000,0.172054040576558
2018,Estatal,Total,Menores de 25 años,8002000,0.2002157312812349
2017,Estatal,Total,Menores de 25 años,8002000,0.2046929532616
2016,Estatal,Total,Menores de 25 años,8002000,0.204589398692961
2015,Estatal,Total,Menores de 25 años,8002000,0.218725913909864
2020,Estatal,Total,De 25 a 34 años,8002000,0.943001668177844
2019,Estatal,Total,De 25 a 34 años,8002000,0.986503410475514
2018,Estatal,Total,De 25 a 34 años,8002000,1.01108702921051
2017,Estatal,Total,De 25 a 34 años,8002000,1.0182679852705403
2016,Estatal,Total,De 25 a 34 años,8002000,1.02389127984965
2015,Estatal,Total,De 25 a 34 años,8002000,1.03420810773764
2020,Estatal,Total,De 35 a 44 años,8002000,1.43990260311509
2019,Estatal,Total,De 35 a 44 años,8002000,1.44547980144247
2018,Estatal,Total,De 35 a 44 años,8002000,1.45656177333915
2017,Estatal,Total,De 35 a 44 años,8002000,1.4319076420201902
2016,Estatal,Total,De 35 a 44 años,8002000,1.43450768755042
