Year,Residencia habitual fuera de México o no especificada,Sexo (t-h-m-na),Value
2004,Países latinoamericanos,Hombres,2
2003,Países latinoamericanos,Hombres,1
2002,Países latinoamericanos,Hombres,0
2001,Países latinoamericanos,Hombres,2
2000,Países latinoamericanos,Hombres,1
1999,Países latinoamericanos,Hombres,1
1998,Países latinoamericanos,Hombres,0
2021,Países latinoamericanos,Mujeres,0
2020,Países latinoamericanos,Mujeres,0
2019,Países latinoamericanos,Mujeres,0
2018,Países latinoamericanos,Mujeres,0
2017,Países latinoamericanos,Mujeres,0
2016,Países latinoamericanos,Mujeres,0
2015,Países latinoamericanos,Mujeres,0
2014,Países latinoamericanos,Mujeres,0
2013,Países latinoamericanos,Mujeres,0
2012,Países latinoamericanos,Mujeres,0
2011,Países latinoamericanos,Mujeres,1
2010,Países latinoamericanos,Mujeres,0
2009,Países latinoamericanos,Mujeres,1
2008,Países latinoamericanos,Mujeres,0
2007,Países latinoamericanos,Mujeres,1
2006,Países latinoamericanos,Mujeres,0
2005,Países latinoamericanos,Mujeres,0
2004,Países latinoamericanos,Mujeres,0
2003,Países latinoamericanos,Mujeres,0
2002,Países latinoamericanos,Mujeres,1
2001,Países latinoamericanos,Mujeres,1
2000,Países latinoamericanos,Mujeres,1
1999,Países latinoamericanos,Mujeres,1
1998,Países latinoamericanos,Mujeres,0
2021,Países latinoamericanos,No especificado,0
2020,Países latinoamericanos,No especificado,0
2019,Países latinoamericanos,No especificado,0
2018,Países latinoamericanos,No especificado,0
2017,Países latinoamericanos,No especificado,0
2016,Países latinoamericanos,No especificado,0
2015,Países latinoamericanos,No especificado,0
2014,Países latinoamericanos,No especificado,0
2013,Países latinoamericanos,No especificado,0
2012,Países latinoamericanos,No especificado,0
2011,Países latinoamericanos,No especificado,0
2010,Países latinoamericanos,No especificado,0
2009,Países latinoamericanos,No especificado,0
2008,Países latinoamericanos,No especificado,0
2007,Países latinoamericanos,No especificado,0
2006,Países latinoamericanos,No especificado,0
2005,Países latinoamericanos,No especificado,0
2004,Países latinoamericanos,No especificado,0
2003,Países latinoamericanos,No especificado,0
2002,Países latinoamericanos,No especificado,0
2001,Países latinoamericanos,No especificado,0
2000,Países latinoamericanos,No especificado,0
1999,Países latinoamericanos,No especificado,0
1998,Países latinoamericanos,No especificado,0
2021,Otros países,Total,1
2020,Otros países,Total,0
2019,Otros países,Total,0
2018,Otros países,Total,0
2017,Otros países,Total,0
2016,Otros países,Total,1
2015,Otros países,Total,0
2014,Otros países,Total,0
2013,Otros países,Total,0
2012,Otros países,Total,0
2011,Otros países,Total,0
2010,Otros países,Total,1
2009,Otros países,Total,0
2008,Otros países,Total,1
2007,Otros países,Total,0
2006,Otros países,Total,1
2005,Otros países,Total,0
2004,Otros países,Total,0
2003,Otros países,Total,0
2002,Otros países,Total,0
2001,Otros países,Total,0
2000,Otros países,Total,0
1999,Otros países,Total,0
1998,Otros países,Total,0
2021,Otros países,Hombres,1
2020,Otros países,Hombres,0
2019,Otros países,Hombres,0
2018,Otros países,Hombres,0
2017,Otros países,Hombres,0
2016,Otros países,Hombres,1
2015,Otros países,Hombres,0
2014,Otros países,Hombres,0
2013,Otros países,Hombres,0
2012,Otros países,Hombres,0
2011,Otros países,Hombres,0
2010,Otros países,Hombres,1
2009,Otros países,Hombres,0
2008,Otros países,Hombres,1
2007,Otros países,Hombres,0
2006,Otros países,Hombres,1
2005,Otros países,Hombres,0
2004,Otros países,Hombres,0
2003,Otros países,Hombres,0
2002,Otros países,Hombres,0
2001,Otros países,Hombres,0
2000,Otros países,Hombres,0
1999,Otros países,Hombres,0
1998,Otros países,Hombres,0
2021,Otros países,Mujeres,0
2020,Otros países,Mujeres,0
2019,Otros países,Mujeres,0
2018,Otros países,Mujeres,0
2017,Otros países,Mujeres,0
2016,Otros países,Mujeres,0
2015,Otros países,Mujeres,0
2014,Otros países,Mujeres,0
2013,Otros países,Mujeres,0
2012,Otros países,Mujeres,0
2011,Otros países,Mujeres,0
2010,Otros países,Mujeres,0
2009,Otros países,Mujeres,0
2008,Otros países,Mujeres,0
2007,Otros países,Mujeres,0
2006,Otros países,Mujeres,0
2005,Otros países,Mujeres,0
2004,Otros países,Mujeres,0
2003,Otros países,Mujeres,0
2002,Otros países,Mujeres,0
2001,Otros países,Mujeres,0
2000,Otros países,Mujeres,0
1999,Otros países,Mujeres,0
1998,Otros países,Mujeres,0
2021,Otros países,No especificado,0
2020,Otros países,No especificado,0
2019,Otros países,No especificado,0
2018,Otros países,No especificado,0
2017,Otros países,No especificado,0
2016,Otros países,No especificado,0
2015,Otros países,No especificado,0
2014,Otros países,No especificado,0
2013,Otros países,No especificado,0
2012,Otros países,No especificado,0
2011,Otros países,No especificado,0
2010,Otros países,No especificado,0
2009,Otros países,No especificado,0
2008,Otros países,No especificado,0
2007,Otros países,No especificado,0
2006,Otros países,No especificado,0
2005,Otros países,No especificado,0
2004,Otros países,No especificado,0
2003,Otros países,No especificado,0
2002,Otros países,No especificado,0
2001,Otros países,No especificado,0
2000,Otros países,No especificado,0
1999,Otros países,No especificado,0
1998,Otros países,No especificado,0
2021,No especificado,Total,14
2020,No especificado,Total,29
2019,No especificado,Total,16
2018,No especificado,Total,29
2017,No especificado,Total,8
2016,No especificado,Total,0
2015,No especificado,Total,0
2014,No especificado,Total,0
2013,No especificado,Total,0
2012,No especificado,Total,0
2011,No especificado,Total,0
2010,No especificado,Total,0
2009,No especificado,Total,0
2008,No especificado,Total,0
2007,No especificado,Total,0
2006,No especificado,Total,0
2005,No especificado,Total,0
2004,No especificado,Total,0
2003,No especificado,Total,0
2002,No especificado,Total,0
2001,No especificado,Total,0
2000,No especificado,Total,0
1999,No especificado,Total,0
1998,No especificado,Total,0
2021,No especificado,Hombres,13
2020,No especificado,Hombres,24
2019,No especificado,Hombres,13
2018,No especificado,Hombres,20
2017,No especificado,Hombres,7
2016,No especificado,Hombres,0
2015,No especificado,Hombres,0
2014,No especificado,Hombres,0
2013,No especificado,Hombres,0
2012,No especificado,Hombres,0
2011,No especificado,Hombres,0
2010,No especificado,Hombres,0
2009,No especificado,Hombres,0
2008,No especificado,Hombres,0
2007,No especificado,Hombres,0
2006,No especificado,Hombres,0
2005,No especificado,Hombres,0
2004,No especificado,Hombres,0
2003,No especificado,Hombres,0
2002,No especificado,Hombres,0
2001,No especificado,Hombres,0
2000,No especificado,Hombres,0
1999,No especificado,Hombres,0
1998,No especificado,Hombres,0
2021,No especificado,Mujeres,1
2020,No especificado,Mujeres,5
2019,No especificado,Mujeres,2
2018,No especificado,Mujeres,9
2017,No especificado,Mujeres,1
2016,No especificado,Mujeres,0
2015,No especificado,Mujeres,0
2014,No especificado,Mujeres,0
2013,No especificado,Mujeres,0
2012,No especificado,Mujeres,0
2011,No especificado,Mujeres,0
2010,No especificado,Mujeres,0
2009,No especificado,Mujeres,0
2008,No especificado,Mujeres,0
2007,No especificado,Mujeres,0
2006,No especificado,Mujeres,0
2005,No especificado,Mujeres,0
2004,No especificado,Mujeres,0
2003,No especificado,Mujeres,0
2002,No especificado,Mujeres,0
2001,No especificado,Mujeres,0
2000,No especificado,Mujeres,0
