Year,Sexo,Value
2021,Total,
2020,Total,
2019,Total,
2018,Total,
2017,Total,
2016,Total,
2015,Total,
2021,Hombres,
2020,Hombres,
2019,Hombres,
2018,Hombres,
2017,Hombres,
2016,Hombres,
2015,Hombres,
2021,Mujeres,5.697820200000013
2020,Mujeres,7.58318837659317
2019,Mujeres,5.279191833935591
2018,Mujeres,6.433538706402744
2017,Mujeres,5.665312636811522
2016,Mujeres,8.551978659731729
2015,Mujeres,10.305474876381297
