Year,Entidad federativa,Población nacional,Población urbana,Población rural,GeoCode,Value
2020,Estados Unidos Mexicanos,Total,,,0,0.7470424341956529
2020,Aguascalientes,Total,,,1,0.803032255422269
2020,Baja California,Total,,,2,0.800840953328288
2020,Baja California Sur,Total,,,3,0.728826143565795
2020,Campeche,Total,,,4,0.77338134089197
2020,Coahuila de Zaragoza,Total,,,5,0.805224181880293
2020,Colima,Total,,,6,0.854836743843887
2020,Chiapas,Total,,,7,0.662429384803965
2020,Chihuahua,Total,,,8,0.73749355010458
2020,Ciudad de México,Total,,,9,0.776986359100018
2020,Durango,Total,,,10,0.7266107945923889
2020,Guanajuato,Total,,,11,0.7829371833548399
2020,Guerrero,Total,,,12,0.704589835712821
2020,Hidalgo,Total,,,13,0.699399910912546
2020,Jalisco,Total,,,14,0.823558889927785
2020,México,Total,,,15,0.712988447196877
2020,Michoacán de Ocampo,Total,,,16,0.756560210844306
2020,Morelos,Total,,,17,0.681570869754478
2020,Nayarit,Total,,,18,0.727436547553323
2020,Nuevo León,Total,,,19,0.853331542813633
2020,Oaxaca,Total,,,20,0.693397273829853
2020,Puebla,Total,,,21,0.695104140818405
2020,Querétaro,Total,,,22,0.728622597890563
2020,Quintana Roo,Total,,,23,0.789777221695063
2020,San Luis Potosí,Total,,,24,0.798008780868931
2020,Sinaloa,Total,,,25,0.7052650444234642
2020,Sonora,Total,,,26,0.7773629649977188
2020,Tabasco,Total,,,27,0.666389911672701
2020,Tamaulipas,Total,,,28,0.8175358415691779
2020,Tlaxcala,Total,,,29,0.737411974520347
2020,Veracruz de Ignacio de la Llave,Total,,,30,0.717209120124771
2020,Yucatán,Total,,,31,0.792343608776963
2020,Zacatecas,Total,,,32,0.7281184131608262
2020,Estados Unidos Mexicanos,Hombres,,,0,0.745485848552382
2020,Aguascalientes,Hombres,,,1,0.801384219974731
2020,Baja California,Hombres,,,2,0.79740121009806
2020,Baja California Sur,Hombres,,,3,0.7270603205642049
2020,Campeche,Hombres,,,4,0.768505044134367
2020,Coahuila de Zaragoza,Hombres,,,5,0.805217688040166
2020,Colima,Hombres,,,6,0.85490996035767
2020,Chiapas,Hombres,,,7,0.659298705234072
2020,Chihuahua,Hombres,,,8,0.733872136988818
2020,Ciudad de México,Hombres,,,9,0.7749264797618839
2020,Durango,Hombres,,,10,0.722949811022238
2020,Guanajuato,Hombres,,,11,0.783909108489123
2020,Guerrero,Hombres,,,12,0.7013357404935979
2020,Hidalgo,Hombres,,,13,0.6981095528887641
2020,Jalisco,Hombres,,,14,0.822334231224734
2020,México,Hombres,,,15,0.712129890427886
2020,Michoacán de Ocampo,Hombres,,,16,0.754005276965349
2020,Morelos,Hombres,,,17,0.679422898717982
2020,Nayarit,Hombres,,,18,0.7238882423042879
2020,Nuevo León,Hombres,,,19,0.851959042376475
2020,Oaxaca,Hombres,,,20,0.6919974737963152
2020,Puebla,Hombres,,,21,0.692702527375014
2020,Querétaro,Hombres,,,22,0.727413644141015
2020,Quintana Roo,Hombres,,,23,0.79519634623222
2020,San Luis Potosí,Hombres,,,24,0.797039916251849
2020,Sinaloa,Hombres,,,25,0.699982230998767
2020,Sonora,Hombres,,,26,0.7775768043163541
2020,Tabasco,Hombres,,,27,0.662648675118342
2020,Tamaulipas,Hombres,,,28,0.815381278865159
2020,Tlaxcala,Hombres,,,29,0.73662732814154
2020,Veracruz de Ignacio de la Llave,Hombres,,,30,0.713754352533804
2020,Yucatán,Hombres,,,31,0.78918598241007
2020,Zacatecas,Hombres,,,32,0.726909696227728
2020,Estados Unidos Mexicanos,Mujeres,,,0,0.748513444395209
2020,Aguascalientes,Mujeres,,,1,0.80458210575283
2020,Baja California,Mujeres,,,2,0.8042122603621541
2020,Baja California Sur,Mujeres,,,3,0.730584357249974
2020,Campeche,Mujeres,,,4,0.778073154437145
2020,Coahuila de Zaragoza,Mujeres,,,5,0.805230594205244
2020,Colima,Mujeres,,,6,0.8547664747280871
2020,Chiapas,Mujeres,,,7,0.665413972484971
2020,Chihuahua,Mujeres,,,8,0.740998916218152
2020,Ciudad de México,Mujeres,,,9,0.778831343072851
2020,Durango,Mujeres,,,10,0.730174112621543
2020,Guanajuato,Mujeres,,,11,0.78202500481621
2020,Guerrero,Mujeres,,,12,0.70760243186758
2020,Hidalgo,Mujeres,,,13,0.7006021601710609
2020,Jalisco,Mujeres,,,14,0.824719556899325
2020,México,Mujeres,,,15,0.713795239754993
2020,Michoacán de Ocampo,Mujeres,,,16,0.75895042170242
2020,Morelos,Mujeres,,,17,0.683574684011973
2020,Nayarit,Mujeres,,,18,0.730901863985335
2020,Nuevo León,Mujeres,,,19,0.854691462037866
2020,Oaxaca,Mujeres,,,20,0.69468007051533
2020,Puebla,Mujeres,,,21,0.6973331759962079
2020,Querétaro,Mujeres,,,22,0.7297612087602751
2020,Quintana Roo,Mujeres,,,23,0.784387812525123
2020,San Luis Potosí,Mujeres,,,24,0.798929168787725
2020,Sinaloa,Mujeres,,,25,0.710337200087067
2020,Sonora,Mujeres,,,26,0.777156194330492
2020,Tabasco,Mujeres,,,27,0.6699225352619201
2020,Tamaulipas,Mujeres,,,28,0.8196044562752641
2020,Tlaxcala,Mujeres,,,29,0.738151584054482
2020,Veracruz de Ignacio de la Llave,Mujeres,,,30,0.720389450106837
2020,Yucatán,Mujeres,,,31,0.7954012512088461
2020,Zacatecas,Mujeres,,,32,0.729263185992776
2020,Estados Unidos Mexicanos,,Total,,0,0.8193607969225501
2020,Aguascalientes,,Total,,1,0.871732670550324
