Year,último hijo nacido vivo,Value
2018,Total,42.1255550744651
2014,Total,44.91149602155931
2018,15-19 años,50.31660843020379
2014,15-19 años,51.5020476966988
2018,20-24 años,44.9545550495761
2014,20-24 años,47.593948764939306
2018,25-29 años,37.5176798208026
2014,25-29 años,41.1042381453486
