Year,Entidad federativa,Municipio,GeoCode,Value
2015,Baja California,Tijuana,2004,13.8672956665
2014,Baja California,Tijuana,2004,
2012,Baja California,Tijuana,2004,
2010,Baja California,Tijuana,2004,18.3108925983
2008,Baja California,Tijuana,2004,
2018,Baja California,Playas de Rosarito,2005,
2016,Baja California,Playas de Rosarito,2005,
2015,Baja California,Playas de Rosarito,2005,16.9675086851
2014,Baja California,Playas de Rosarito,2005,
2012,Baja California,Playas de Rosarito,2005,
2010,Baja California,Playas de Rosarito,2005,16.6772571924
2008,Baja California,Playas de Rosarito,2005,
2018,Baja California,San Quintín,2006,
2016,Baja California,San Quintín,2006,
2015,Baja California,San Quintín,2006,
2014,Baja California,San Quintín,2006,
2012,Baja California,San Quintín,2006,
2010,Baja California,San Quintín,2006,
2008,Baja California,San Quintín,2006,
2018,Baja California Sur,,3,17.8429749605502
2016,Baja California Sur,,3,19.1952886341448
2015,Baja California Sur,,3,
2014,Baja California Sur,,3,24.566895007404
2012,Baja California Sur,,3,21.8889018714894
2010,Baja California Sur,,3,26.0320873254148
2008,Baja California Sur,,3,15.415669807523
2018,Baja California Sur,Comondú,3001,
2016,Baja California Sur,Comondú,3001,
2015,Baja California Sur,Comondú,3001,26.1143222456
2014,Baja California Sur,Comondú,3001,
2012,Baja California Sur,Comondú,3001,
2010,Baja California Sur,Comondú,3001,29.8879725103
2008,Baja California Sur,Comondú,3001,
2018,Baja California Sur,Mulegé,3002,
2016,Baja California Sur,Mulegé,3002,
2015,Baja California Sur,Mulegé,3002,13.5083687984
2014,Baja California Sur,Mulegé,3002,
2012,Baja California Sur,Mulegé,3002,
2010,Baja California Sur,Mulegé,3002,30.469638693
2008,Baja California Sur,Mulegé,3002,
2018,Baja California Sur,La Paz,3003,
2016,Baja California Sur,La Paz,3003,
2015,Baja California Sur,La Paz,3003,20.408238347
2014,Baja California Sur,La Paz,3003,
2012,Baja California Sur,La Paz,3003,
2010,Baja California Sur,La Paz,3003,16.7887592561
2008,Baja California Sur,La Paz,3003,
2018,Baja California Sur,Los Cabos,3008,
2016,Baja California Sur,Los Cabos,3008,
2015,Baja California Sur,Los Cabos,3008,23.5404213014
2014,Baja California Sur,Los Cabos,3008,
2012,Baja California Sur,Los Cabos,3008,
2010,Baja California Sur,Los Cabos,3008,33.7114169833
2008,Baja California Sur,Los Cabos,3008,
2018,Baja California Sur,Loreto,3009,
2016,Baja California Sur,Loreto,3009,
2015,Baja California Sur,Loreto,3009,23.1481942949
2014,Baja California Sur,Loreto,3009,
2012,Baja California Sur,Loreto,3009,
2010,Baja California Sur,Loreto,3009,32.0412549312
2008,Baja California Sur,Loreto,3009,
2018,Campeche,,4,27.4431127852237
2016,Campeche,,4,25.5911633732107
2015,Campeche,,4,
2014,Campeche,,4,24.2611037899717
2012,Campeche,,4,18.7384783672529
2010,Campeche,,4,31.1831200339157
2008,Campeche,,4,20.2771604452661
2018,Campeche,Calkiní,4001,
2016,Campeche,Calkiní,4001,
2015,Campeche,Calkiní,4001,24.6555820633
2014,Campeche,Calkiní,4001,
2012,Campeche,Calkiní,4001,
2010,Campeche,Calkiní,4001,42.7109877044
2008,Campeche,Calkiní,4001,
2018,Campeche,Campeche,4002,
2016,Campeche,Campeche,4002,
2015,Campeche,Campeche,4002,17.9336729192
2014,Campeche,Campeche,4002,
2012,Campeche,Campeche,4002,
2010,Campeche,Campeche,4002,20.1937992232
2008,Campeche,Campeche,4002,
2018,Campeche,Carmen,4003,
2016,Campeche,Carmen,4003,
2015,Campeche,Carmen,4003,22.9494045215
2014,Campeche,Carmen,4003,
2012,Campeche,Carmen,4003,
2010,Campeche,Carmen,4003,22.2713225325
2008,Campeche,Carmen,4003,
2018,Campeche,Champotón,4004,
2016,Campeche,Champotón,4004,
2015,Campeche,Champotón,4004,26.4076774781
2014,Campeche,Champotón,4004,
2012,Campeche,Champotón,4004,
2010,Campeche,Champotón,4004,31.7217569833
2008,Campeche,Champotón,4004,
2018,Campeche,Hecelchakán,4005,
2016,Campeche,Hecelchakán,4005,
2015,Campeche,Hecelchakán,4005,19.3040508027
2014,Campeche,Hecelchakán,4005,
2012,Campeche,Hecelchakán,4005,
2010,Campeche,Hecelchakán,4005,37.9139237251
2008,Campeche,Hecelchakán,4005,
2018,Campeche,Hopelchén,4006,
2016,Campeche,Hopelchén,4006,
2015,Campeche,Hopelchén,4006,18.6772782278
2014,Campeche,Hopelchén,4006,
2012,Campeche,Hopelchén,4006,
2010,Campeche,Hopelchén,4006,43.3954344027
2008,Campeche,Hopelchén,4006,
2018,Campeche,Palizada,4007,
2016,Campeche,Palizada,4007,
2015,Campeche,Palizada,4007,28.1917475728
2014,Campeche,Palizada,4007,
2012,Campeche,Palizada,4007,
2010,Campeche,Palizada,4007,37.0027855153
2008,Campeche,Palizada,4007,
2018,Campeche,Tenabo,4008,
2016,Campeche,Tenabo,4008,
2015,Campeche,Tenabo,4008,22.5418547106
2014,Campeche,Tenabo,4008,
2012,Campeche,Tenabo,4008,
2010,Campeche,Tenabo,4008,33.2799450864
2008,Campeche,Tenabo,4008,
2018,Campeche,Escárcega,4009,
2016,Campeche,Escárcega,4009,
2015,Campeche,Escárcega,4009,36.0799213591
2014,Campeche,Escárcega,4009,
2012,Campeche,Escárcega,4009,
2010,Campeche,Escárcega,4009,59.917826596
2008,Campeche,Escárcega,4009,
2018,Campeche,Calakmul,4010,
2016,Campeche,Calakmul,4010,
2015,Campeche,Calakmul,4010,30.6859201924
2014,Campeche,Calakmul,4010,
2012,Campeche,Calakmul,4010,
2010,Campeche,Calakmul,4010,54.6349903845
2008,Campeche,Calakmul,4010,
2018,Campeche,Candelaria,4011,
2016,Campeche,Candelaria,4011,
2015,Campeche,Candelaria,4011,35.1907812977
2014,Campeche,Candelaria,4011,
2012,Campeche,Candelaria,4011,
2010,Campeche,Candelaria,4011,48.2568403024
2008,Campeche,Candelaria,4011,
2018,Campeche,Seybaplaya,4012,
2016,Campeche,Seybaplaya,4012,
2015,Campeche,Seybaplaya,4012,
2014,Campeche,Seybaplaya,4012,
2012,Campeche,Seybaplaya,4012,
2010,Campeche,Seybaplaya,4012,
2008,Campeche,Seybaplaya,4012,
2018,Campeche,Dzitbalché,4013,
2016,Campeche,Dzitbalché,4013,
2015,Campeche,Dzitbalché,4013,
2014,Campeche,Dzitbalché,4013,
2012,Campeche,Dzitbalché,4013,
2010,Campeche,Dzitbalché,4013,
2008,Campeche,Dzitbalché,4013,
2018,Coahuila de Zaragoza,,5,18.2668822289022
2016,Coahuila de Zaragoza,,5,16.1244669076
2015,Coahuila de Zaragoza,,5,
2014,Coahuila de Zaragoza,,5,22.0303639697968
2012,Coahuila de Zaragoza,,5,21.173994451011
2010,Coahuila de Zaragoza,,5,20.7698841947936
2008,Coahuila de Zaragoza,,5,16.8471696816986
2018,Coahuila de Zaragoza,Abasolo,5001,
2016,Coahuila de Zaragoza,Abasolo,5001,
2015,Coahuila de Zaragoza,Abasolo,5001,12.7147766323
2014,Coahuila de Zaragoza,Abasolo,5001,
2012,Coahuila de Zaragoza,Abasolo,5001,
2010,Coahuila de Zaragoza,Abasolo,5001,30.2742616034
2008,Coahuila de Zaragoza,Abasolo,5001,
2018,Coahuila de Zaragoza,Acuña,5002,
2016,Coahuila de Zaragoza,Acuña,5002,
2015,Coahuila de Zaragoza,Acuña,5002,10.5037811187
2014,Coahuila de Zaragoza,Acuña,5002,
2012,Coahuila de Zaragoza,Acuña,5002,
2010,Coahuila de Zaragoza,Acuña,5002,15.7158182402
2008,Coahuila de Zaragoza,Acuña,5002,
2018,Coahuila de Zaragoza,Allende,5003,
2016,Coahuila de Zaragoza,Allende,5003,
2015,Coahuila de Zaragoza,Allende,5003,15.1519728127
2014,Coahuila de Zaragoza,Allende,5003,
2012,Coahuila de Zaragoza,Allende,5003,
2010,Coahuila de Zaragoza,Allende,5003,9.0486705149
2008,Coahuila de Zaragoza,Allende,5003,
2018,Coahuila de Zaragoza,Arteaga,5004,
2016,Coahuila de Zaragoza,Arteaga,5004,
2015,Coahuila de Zaragoza,Arteaga,5004,18.6039039578
2014,Coahuila de Zaragoza,Arteaga,5004,
2012,Coahuila de Zaragoza,Arteaga,5004,
2010,Coahuila de Zaragoza,Arteaga,5004,43.8119127916
2008,Coahuila de Zaragoza,Arteaga,5004,
2018,Coahuila de Zaragoza,Candela,5005,
2016,Coahuila de Zaragoza,Candela,5005,
2015,Coahuila de Zaragoza,Candela,5005,13.2796780684
2014,Coahuila de Zaragoza,Candela,5005,
2012,Coahuila de Zaragoza,Candela,5005,
2010,Coahuila de Zaragoza,Candela,5005,38.2029734971
2008,Coahuila de Zaragoza,Candela,5005,
2018,Coahuila de Zaragoza,Castaños,5006,
2016,Coahuila de Zaragoza,Castaños,5006,
2015,Coahuila de Zaragoza,Castaños,5006,13.7551223761
2014,Coahuila de Zaragoza,Castaños,5006,
2012,Coahuila de Zaragoza,Castaños,5006,
2010,Coahuila de Zaragoza,Castaños,5006,17.3181364068
2008,Coahuila de Zaragoza,Castaños,5006,
2018,Coahuila de Zaragoza,Cuatro Ciénegas,5007,
2016,Coahuila de Zaragoza,Cuatro Ciénegas,5007,
2015,Coahuila de Zaragoza,Cuatro Ciénegas,5007,10.9712841531
2014,Coahuila de Zaragoza,Cuatro Ciénegas,5007,
2012,Coahuila de Zaragoza,Cuatro Ciénegas,5007,
2010,Coahuila de Zaragoza,Cuatro Ciénegas,5007,44.3557037414
2008,Coahuila de Zaragoza,Cuatro Ciénegas,5007,
2018,Coahuila de Zaragoza,Escobedo,5008,
2016,Coahuila de Zaragoza,Escobedo,5008,
2015,Coahuila de Zaragoza,Escobedo,5008,11.8188795088
2014,Coahuila de Zaragoza,Escobedo,5008,
2012,Coahuila de Zaragoza,Escobedo,5008,
2010,Coahuila de Zaragoza,Escobedo,5008,35.6299212598
2008,Coahuila de Zaragoza,Escobedo,5008,
2018,Coahuila de Zaragoza,Francisco I. Madero,5009,
2016,Coahuila de Zaragoza,Francisco I. Madero,5009,
2015,Coahuila de Zaragoza,Francisco I. Madero,5009,20.4042366293
2014,Coahuila de Zaragoza,Francisco I. Madero,5009,
2012,Coahuila de Zaragoza,Francisco I. Madero,5009,
2010,Coahuila de Zaragoza,Francisco I. Madero,5009,27.5478962075
2008,Coahuila de Zaragoza,Francisco I. Madero,5009,
2018,Coahuila de Zaragoza,Frontera,5010,
2016,Coahuila de Zaragoza,Frontera,5010,
2015,Coahuila de Zaragoza,Frontera,5010,16.025683059
2014,Coahuila de Zaragoza,Frontera,5010,
2012,Coahuila de Zaragoza,Frontera,5010,
2010,Coahuila de Zaragoza,Frontera,5010,13.7095544288
2008,Coahuila de Zaragoza,Frontera,5010,
2018,Coahuila de Zaragoza,General Cepeda,5011,
2016,Coahuila de Zaragoza,General Cepeda,5011,
2015,Coahuila de Zaragoza,General Cepeda,5011,10.4995069999
