Year,Entidad federativa,Municipio,GeoCode,Value
2020,Estados Unidos Mexicanos,,0,99.85
2010,Estados Unidos Mexicanos,,0,97.7362639952777
2020,Aguascalientes,,1,100.0
2010,Aguascalientes,,1,99.9859283135523
2020,Aguascalientes,Aguascalientes,1001,100.0
2010,Aguascalientes,Aguascalientes,1001,99.9680454464761
2020,Aguascalientes,Asientos,1002,100.0
2010,Aguascalientes,Asientos,1002,100.0
2020,Aguascalientes,Calvillo,1003,100.0
2010,Aguascalientes,Calvillo,1003,99.9854439592431
2020,Aguascalientes,Cosío,1004,100.0
2010,Aguascalientes,Cosío,1004,100.0
2020,Aguascalientes,Jesús María,1005,100.0
2010,Aguascalientes,Jesús María,1005,99.9714421703951
2020,Aguascalientes,Pabellón de Arteaga,1006,100.0
2010,Aguascalientes,Pabellón de Arteaga,1006,100.0
2020,Aguascalientes,Rincón de Romos,1007,100.0
2010,Aguascalientes,Rincón de Romos,1007,100.0
2020,Aguascalientes,San José de Gracia,1008,100.0
2010,Aguascalientes,San José de Gracia,1008,99.971558589306
2020,Aguascalientes,Tepezalá,1009,100.0
2010,Aguascalientes,Tepezalá,1009,100.0
2020,Aguascalientes,El Llano,1010,100.0
2010,Aguascalientes,El Llano,1010,100.0
2020,Aguascalientes,San Francisco de los Romo,1011,100.0
2010,Aguascalientes,San Francisco de los Romo,1011,100.0
2020,Baja California,,2,99.16999817
2010,Baja California,,2,98.6710307735325
2020,Baja California,Ensenada,2001,96.05000305
2010,Baja California,Ensenada,2001,95.618121469749
2020,Baja California,Mexicali,2002,100.0
2010,Baja California,Mexicali,2002,99.9037584844494
2020,Baja California,Tecate,2003,100.0
2010,Baja California,Tecate,2003,99.7238358251595
2020,Baja California,Tijuana,2004,100.0
2010,Baja California,Tijuana,2004,99.8483680926695
2020,Baja California,Playas de Rosarito,2005,100.0
2010,Baja California,Playas de Rosarito,2005,99.9450662638193
2020,Baja California,San Quintín,2006,99.66999817
2010,Baja California,San Quintín,2006,
2020,Baja California Sur,,3,99.84999847
2010,Baja California Sur,,3,95.8984463468768
2020,Baja California Sur,Comondú,3001,99.91999817
2010,Baja California Sur,Comondú,3001,93.2829124471222
2020,Baja California Sur,Mulegé,3002,99.90000153
2010,Baja California Sur,Mulegé,3002,95.2633845270561
2020,Baja California Sur,La Paz,3003,99.66999817
2010,Baja California Sur,La Paz,3003,96.0259227531752
2020,Baja California Sur,Los Cabos,3008,99.98000336
2010,Baja California Sur,Los Cabos,3008,98.5746665504315
2020,Baja California Sur,Loreto,3009,100.0
2010,Baja California Sur,Loreto,3009,90.5660377358491
2020,Campeche,,4,99.48999786
2010,Campeche,,4,98.3150905124574
2020,Campeche,Calkiní,4001,100.0
2010,Campeche,Calkiní,4001,99.9824144904599
2020,Campeche,Campeche,4002,100.0
2010,Campeche,Campeche,4002,99.9363589356032
2020,Campeche,Carmen,4003,99.68000031
2010,Campeche,Carmen,4003,96.6623973479997
2020,Campeche,Champotón,4004,100.0
2010,Campeche,Champotón,4004,99.5688511541523
2020,Campeche,Hecelchakán,4005,100.0
2010,Campeche,Hecelchakán,4005,99.9785568778814
2020,Campeche,Hopelchén,4006,99.98000336
2010,Campeche,Hopelchén,4006,99.9056158565361
2020,Campeche,Palizada,4007,89.20999908
2010,Campeche,Palizada,4007,83.4505035151055
2020,Campeche,Tenabo,4008,100.0
2010,Campeche,Tenabo,4008,99.9088007295942
2020,Campeche,Escárcega,4009,100.0
2010,Campeche,Escárcega,4009,98.7131667288325
2020,Campeche,Calakmul,4010,100.0
2010,Campeche,Calakmul,4010,99.9650624508691
2020,Campeche,Candelaria,4011,98.51999664
