Year,Entidad federativa,GeoCode,Value
2020,Estados Unidos Mexicanos,0,49.3261455525606
2019,Estados Unidos Mexicanos,0,49.5058400718778
2018,Estados Unidos Mexicanos,0,49.0566037735849
2017,Estados Unidos Mexicanos,0,41.8521816562778
2016,Estados Unidos Mexicanos,0,41.7699115044248
2020,Aguascalientes,1,51.8518518518518
2019,Aguascalientes,1,51.8518518518518
2018,Aguascalientes,1,51.8518518518518
2017,Aguascalientes,1,48.1481481481481
2016,Aguascalientes,1,48.1481481481481
2020,Baja California,2,48.0
2019,Baja California,2,48.0
2018,Baja California,2,36.0
2017,Baja California,2,36.0
2016,Baja California,2,36.0
2020,Baja California Sur,3,57.1428571428571
2019,Baja California Sur,3,57.1428571428571
2018,Baja California Sur,3,57.1428571428571
2017,Baja California Sur,3,47.6190476190476
2016,Baja California Sur,3,47.6190476190476
2020,Campeche,4,51.4285714285714
2019,Campeche,4,51.4285714285714
2018,Campeche,4,51.4285714285714
2017,Campeche,4,54.2857142857143
2016,Campeche,4,54.2857142857143
2020,Coahuila de Zaragoza,5,56.0
2019,Coahuila de Zaragoza,5,56.0
2018,Coahuila de Zaragoza,5,56.0
2017,Coahuila de Zaragoza,5,48.0
2016,Coahuila de Zaragoza,5,48.0
2020,Colima,6,56.0
2019,Colima,6,56.0
2018,Colima,6,56.0
2017,Colima,6,40.0
2016,Colima,6,36.0
2020,Chiapas,7,65.0
2019,Chiapas,7,65.0
2018,Chiapas,7,65.0
2017,Chiapas,7,60.0
2016,Chiapas,7,60.0
2020,Chihuahua,8,45.4545454545455
2019,Chihuahua,8,45.4545454545455
2018,Chihuahua,8,45.4545454545455
2017,Chihuahua,8,51.5151515151515
2016,Chihuahua,8,51.5151515151515
2020,Ciudad de México,9,50.0
2019,Ciudad de México,9,50.0
2018,Ciudad de México,9,50.0
2017,Ciudad de México,9,45.4545454545455
2016,Ciudad de México,9,45.4545454545455
2020,Durango,10,40.0
2019,Durango,10,40.0
2018,Durango,10,40.0
2017,Durango,10,44.0
2016,Durango,10,44.0
2020,Guanajuato,11,50.0
2019,Guanajuato,11,50.0
2018,Guanajuato,11,50.0
2017,Guanajuato,11,44.4444444444444
2016,Guanajuato,11,44.4444444444444
2020,Guerrero,12,41.304347826087
2019,Guerrero,12,41.304347826087
2018,Guerrero,12,41.304347826087
2017,Guerrero,12,40.0
2016,Guerrero,12,39.1304347826087
2020,Hidalgo,13,53.3333333333333
2019,Hidalgo,13,46.6666666666667
2018,Hidalgo,13,53.3333333333333
2017,Hidalgo,13,40.0
2016,Hidalgo,13,30.0
2020,Jalisco,14,39.4736842105263
2019,Jalisco,14,42.1052631578947
2018,Jalisco,14,44.7368421052632
2017,Jalisco,14,43.5897435897436
2016,Jalisco,14,46.1538461538462
2020,México,15,49.3333333333333
2019,México,15,49.3333333333333
2018,México,15,49.3333333333333
2017,México,15,37.3333333333333
2016,México,15,37.3333333333333
2020,Michoacán de Ocampo,16,42.5
2019,Michoacán de Ocampo,16,42.5
2018,Michoacán de Ocampo,16,40.0
2017,Michoacán de Ocampo,16,42.5
2016,Michoacán de Ocampo,16,42.5
2020,Morelos,17,70.0
