Year,Suscripciones de banda ancha fija,Value
2018/4,Igual o superior a 10 Mbps,
2018/3,Igual o superior a 10 Mbps,
2018/2,Igual o superior a 10 Mbps,12.19196297
2018/1,Igual o superior a 10 Mbps,
2017/4,Igual o superior a 10 Mbps,
2017/3,Igual o superior a 10 Mbps,
2017/2,Igual o superior a 10 Mbps,10.94474933
2017/1,Igual o superior a 10 Mbps,
2016/4,Igual o superior a 10 Mbps,
2016/3,Igual o superior a 10 Mbps,
2016/2,Igual o superior a 10 Mbps,9.336456788
2016/1,Igual o superior a 10 Mbps,
2015/4,Igual o superior a 10 Mbps,
2015/3,Igual o superior a 10 Mbps,
2015/2,Igual o superior a 10 Mbps,3.159174612
2015/1,Igual o superior a 10 Mbps,
2014/4,Igual o superior a 10 Mbps,
2014/3,Igual o superior a 10 Mbps,
2014/2,Igual o superior a 10 Mbps,1.062691468
2014/1,Igual o superior a 10 Mbps,
2019/1,Entre 256 Kbps y menor a 2 Mbps,
2018/4,Entre 256 Kbps y menor a 2 Mbps,
2018/3,Entre 256 Kbps y menor a 2 Mbps,0.265225972
2018/2,Entre 256 Kbps y menor a 2 Mbps,
2018/1,Entre 256 Kbps y menor a 2 Mbps,
2017/4,Entre 256 Kbps y menor a 2 Mbps,
2017/3,Entre 256 Kbps y menor a 2 Mbps,0.335751959
2017/2,Entre 256 Kbps y menor a 2 Mbps,
2017/1,Entre 256 Kbps y menor a 2 Mbps,
2016/4,Entre 256 Kbps y menor a 2 Mbps,
2016/3,Entre 256 Kbps y menor a 2 Mbps,0.53820338
2016/2,Entre 256 Kbps y menor a 2 Mbps,
2016/1,Entre 256 Kbps y menor a 2 Mbps,
2015/4,Entre 256 Kbps y menor a 2 Mbps,
2015/3,Entre 256 Kbps y menor a 2 Mbps,0.313300465
2015/2,Entre 256 Kbps y menor a 2 Mbps,
2015/1,Entre 256 Kbps y menor a 2 Mbps,
2014/4,Entre 256 Kbps y menor a 2 Mbps,
2014/3,Entre 256 Kbps y menor a 2 Mbps,0.550551331
2014/2,Entre 256 Kbps y menor a 2 Mbps,
2014/1,Entre 256 Kbps y menor a 2 Mbps,
2019/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2018/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2018/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,1.145872579
2018/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2018/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2017/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2017/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,2.097298015
2017/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2017/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2016/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2016/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,2.197526057
2016/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2016/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2015/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2015/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,3.3006230630000006
2015/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2015/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2014/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2014/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,9.615938449
2014/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2014/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2019/1,Igual o superior a 10 Mbps,
2018/4,Igual o superior a 10 Mbps,
2018/3,Igual o superior a 10 Mbps,13.03703931
2018/2,Igual o superior a 10 Mbps,
2018/1,Igual o superior a 10 Mbps,
2017/4,Igual o superior a 10 Mbps,
2017/3,Igual o superior a 10 Mbps,11.12569792
2017/2,Igual o superior a 10 Mbps,
2017/1,Igual o superior a 10 Mbps,
2016/4,Igual o superior a 10 Mbps,
2016/3,Igual o superior a 10 Mbps,10.12663336
2016/2,Igual o superior a 10 Mbps,
2016/1,Igual o superior a 10 Mbps,
2015/4,Igual o superior a 10 Mbps,
2015/3,Igual o superior a 10 Mbps,8.230928976
2015/2,Igual o superior a 10 Mbps,
2015/1,Igual o superior a 10 Mbps,
2014/4,Igual o superior a 10 Mbps,
2014/3,Igual o superior a 10 Mbps,1.100831734
2014/2,Igual o superior a 10 Mbps,
2014/1,Igual o superior a 10 Mbps,
2019/1,Entre 256 Kbps y menor a 2 Mbps,
2018/4,Entre 256 Kbps y menor a 2 Mbps,0.257804297
2018/3,Entre 256 Kbps y menor a 2 Mbps,
2018/2,Entre 256 Kbps y menor a 2 Mbps,
2018/1,Entre 256 Kbps y menor a 2 Mbps,
2017/4,Entre 256 Kbps y menor a 2 Mbps,0.313716034
2017/3,Entre 256 Kbps y menor a 2 Mbps,
2017/2,Entre 256 Kbps y menor a 2 Mbps,
2017/1,Entre 256 Kbps y menor a 2 Mbps,
2016/4,Entre 256 Kbps y menor a 2 Mbps,0.555186521
2016/3,Entre 256 Kbps y menor a 2 Mbps,
2016/2,Entre 256 Kbps y menor a 2 Mbps,
2016/1,Entre 256 Kbps y menor a 2 Mbps,
2015/4,Entre 256 Kbps y menor a 2 Mbps,0.703320119
2015/3,Entre 256 Kbps y menor a 2 Mbps,
2015/2,Entre 256 Kbps y menor a 2 Mbps,
2015/1,Entre 256 Kbps y menor a 2 Mbps,
2014/4,Entre 256 Kbps y menor a 2 Mbps,0.528983415
2014/3,Entre 256 Kbps y menor a 2 Mbps,
2014/2,Entre 256 Kbps y menor a 2 Mbps,
2014/1,Entre 256 Kbps y menor a 2 Mbps,
2019/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2018/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,1.607202555
2018/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2018/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2018/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2017/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,1.953791999
2017/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2017/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2017/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2016/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,2.25130699
2016/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2016/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2016/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2015/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,2.477648516
2015/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2015/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2015/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2014/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,9.009110277
2014/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2014/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2014/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2019/1,Igual o superior a 10 Mbps,
2018/4,Igual o superior a 10 Mbps,12.77489154
2018/3,Igual o superior a 10 Mbps,
2018/2,Igual o superior a 10 Mbps,
2018/1,Igual o superior a 10 Mbps,
2017/4,Igual o superior a 10 Mbps,11.55448683
2017/3,Igual o superior a 10 Mbps,
2017/2,Igual o superior a 10 Mbps,
2017/1,Igual o superior a 10 Mbps,
2016/4,Igual o superior a 10 Mbps,10.44940345
2016/3,Igual o superior a 10 Mbps,
2016/2,Igual o superior a 10 Mbps,
2016/1,Igual o superior a 10 Mbps,
2015/4,Igual o superior a 10 Mbps,8.96661045
2015/3,Igual o superior a 10 Mbps,
2015/2,Igual o superior a 10 Mbps,
2015/1,Igual o superior a 10 Mbps,
2014/4,Igual o superior a 10 Mbps,1.303962388
2014/3,Igual o superior a 10 Mbps,
2014/2,Igual o superior a 10 Mbps,
2014/1,Igual o superior a 10 Mbps,
