Year,"hablantes_lengua indígena",Value
2019,"Total",410.793874122462
2014,"Total",420.111737185674
2019,"Hombres",451.050891262359
2014,"Hombres",453.514993946649
2019,"Mujeres",313.459693898607
2014,"Mujeres",318.736704945781
