Year,Entidad federativa,Municipio,"Edades de 15 a 24 años","Sexo",GeoCode,Value
2019,"Baja California","Ensenada","15-24 años","Hombres",020010001,
2018,"Baja California","Ensenada","15-24 años","Hombres",020010001,
2017,"Baja California","Ensenada","15-24 años","Hombres",020010001,
2022,"Baja California","Ensenada","15-24 años","Mujeres",020010001,
2021,"Baja California","Ensenada","15-24 años","Mujeres",020010001,
2020,"Baja California","Ensenada","15-24 años","Mujeres",020010001,
2019,"Baja California","Ensenada","15-24 años","Mujeres",020010001,
2018,"Baja California","Ensenada","15-24 años","Mujeres",020010001,
2017,"Baja California","Ensenada","15-24 años","Mujeres",020010001,
2022,"Baja California","Ensenada","15-19 años","Total",020010001,
2021,"Baja California","Ensenada","15-19 años","Total",020010001,
2020,"Baja California","Ensenada","15-19 años","Total",020010001,
2019,"Baja California","Ensenada","15-19 años","Total",020010001,
2018,"Baja California","Ensenada","15-19 años","Total",020010001,
2017,"Baja California","Ensenada","15-19 años","Total",020010001,
2022,"Baja California","Ensenada","15-19 años","Hombres",020010001,
2021,"Baja California","Ensenada","15-19 años","Hombres",020010001,
2020,"Baja California","Ensenada","15-19 años","Hombres",020010001,
2019,"Baja California","Ensenada","15-19 años","Hombres",020010001,
2018,"Baja California","Ensenada","15-19 años","Hombres",020010001,
2017,"Baja California","Ensenada","15-19 años","Hombres",020010001,
2022,"Baja California","Ensenada","15-19 años","Mujeres",020010001,
2021,"Baja California","Ensenada","15-19 años","Mujeres",020010001,
2020,"Baja California","Ensenada","15-19 años","Mujeres",020010001,
2019,"Baja California","Ensenada","15-19 años","Mujeres",020010001,
2018,"Baja California","Ensenada","15-19 años","Mujeres",020010001,
2017,"Baja California","Ensenada","15-19 años","Mujeres",020010001,
2022,"Baja California","Ensenada","20-24 años","Total",020010001,
2021,"Baja California","Ensenada","20-24 años","Total",020010001,
2020,"Baja California","Ensenada","20-24 años","Total",020010001,
2019,"Baja California","Ensenada","20-24 años","Total",020010001,
2018,"Baja California","Ensenada","20-24 años","Total",020010001,
2017,"Baja California","Ensenada","20-24 años","Total",020010001,
2022,"Baja California","Ensenada","20-24 años","Hombres",020010001,
2021,"Baja California","Ensenada","20-24 años","Hombres",020010001,
2020,"Baja California","Ensenada","20-24 años","Hombres",020010001,
2019,"Baja California","Ensenada","20-24 años","Hombres",020010001,
2018,"Baja California","Ensenada","20-24 años","Hombres",020010001,
2017,"Baja California","Ensenada","20-24 años","Hombres",020010001,
2022,"Baja California","Ensenada","20-24 años","Mujeres",020010001,
2021,"Baja California","Ensenada","20-24 años","Mujeres",020010001,
2020,"Baja California","Ensenada","20-24 años","Mujeres",020010001,
2019,"Baja California","Ensenada","20-24 años","Mujeres",020010001,
2018,"Baja California","Ensenada","20-24 años","Mujeres",020010001,
2017,"Baja California","Ensenada","20-24 años","Mujeres",020010001,
2022,"Baja California","Mexicali","15-24 años","Total",020020001,5.595982372
2021,"Baja California","Mexicali","15-24 años","Total",020020001,5.703377766
2020,"Baja California","Mexicali","15-24 años","Total",020020001,6.650162547
2019,"Baja California","Mexicali","15-24 años","Total",020020001,5.555221828
2018,"Baja California","Mexicali","15-24 años","Total",020020001,
2017,"Baja California","Mexicali","15-24 años","Total",020020001,
2022,"Baja California","Mexicali","15-24 años","Hombres",020020001,5.725764013
2021,"Baja California","Mexicali","15-24 años","Hombres",020020001,5.055649155
2020,"Baja California","Mexicali","15-24 años","Hombres",020020001,5.730073324
2019,"Baja California","Mexicali","15-24 años","Hombres",020020001,4.845554254
2018,"Baja California","Mexicali","15-24 años","Hombres",020020001,
2017,"Baja California","Mexicali","15-24 años","Hombres",020020001,
2022,"Baja California","Mexicali","15-24 años","Mujeres",020020001,5.466682012
2021,"Baja California","Mexicali","15-24 años","Mujeres",020020001,6.369435111
2020,"Baja California","Mexicali","15-24 años","Mujeres",020020001,7.629975002
2019,"Baja California","Mexicali","15-24 años","Mujeres",020020001,6.355631302
2018,"Baja California","Mexicali","15-24 años","Mujeres",020020001,
2017,"Baja California","Mexicali","15-24 años","Mujeres",020020001,
2022,"Baja California","Mexicali","15-19 años","Total",020020001,4.335698757
2021,"Baja California","Mexicali","15-19 años","Total",020020001,4.099401182
2020,"Baja California","Mexicali","15-19 años","Total",020020001,4.096954391
2019,"Baja California","Mexicali","15-19 años","Total",020020001,4.657974919
2018,"Baja California","Mexicali","15-19 años","Total",020020001,
2017,"Baja California","Mexicali","15-19 años","Total",020020001,
2022,"Baja California","Mexicali","15-19 años","Hombres",020020001,5.474185776
2021,"Baja California","Mexicali","15-19 años","Hombres",020020001,4.156225906
2020,"Baja California","Mexicali","15-19 años","Hombres",020020001,3.883977612
2019,"Baja California","Mexicali","15-19 años","Hombres",020020001,4.397024753
2018,"Baja California","Mexicali","15-19 años","Hombres",020020001,
2017,"Baja California","Mexicali","15-19 años","Hombres",020020001,
2022,"Baja California","Mexicali","15-19 años","Mujeres",020020001,3.174033149
2021,"Baja California","Mexicali","15-19 años","Mujeres",020020001,4.034755914
2020,"Baja California","Mexicali","15-19 años","Mujeres",020020001,4.332129964
2019,"Baja California","Mexicali","15-19 años","Mujeres",020020001,4.956720332
2018,"Baja California","Mexicali","15-19 años","Mujeres",020020001,
2017,"Baja California","Mexicali","15-19 años","Mujeres",020020001,
2022,"Baja California","Mexicali","20-24 años","Total",020020001,6.708044592
2021,"Baja California","Mexicali","20-24 años","Total",020020001,7.337400233
2020,"Baja California","Mexicali","20-24 años","Total",020020001,9.158072127
2019,"Baja California","Mexicali","20-24 años","Total",020020001,6.490620569
2018,"Baja California","Mexicali","20-24 años","Total",020020001,
2017,"Baja California","Mexicali","20-24 años","Total",020020001,
2022,"Baja California","Mexicali","20-24 años","Hombres",020020001,5.952555279
2021,"Baja California","Mexicali","20-24 años","Hombres",020020001,6.068666033
2020,"Baja California","Mexicali","20-24 años","Hombres",020020001,7.607596957
2019,"Baja California","Mexicali","20-24 años","Hombres",020020001,5.324411581
2018,"Baja California","Mexicali","20-24 años","Hombres",020020001,
2017,"Baja California","Mexicali","20-24 años","Hombres",020020001,
2022,"Baja California","Mexicali","20-24 años","Mujeres",020020001,7.445060832
2021,"Baja California","Mexicali","20-24 años","Mujeres",020020001,8.51444257
2020,"Baja California","Mexicali","20-24 años","Mujeres",020020001,10.75148301
2019,"Baja California","Mexicali","20-24 años","Mujeres",020020001,7.775297619
2018,"Baja California","Mexicali","20-24 años","Mujeres",020020001,
2017,"Baja California","Mexicali","20-24 años","Mujeres",020020001,
2022,"Baja California","Tijuana","15-24 años","Total",020040001,5.72701694
2021,"Baja California","Tijuana","15-24 años","Total",020040001,6.861235862
2020,"Baja California","Tijuana","15-24 años","Total",020040001,5.994041357
2019,"Baja California","Tijuana","15-24 años","Total",020040001,4.839110628
2018,"Baja California","Tijuana","15-24 años","Total",020040001,5.523572031
2017,"Baja California","Tijuana","15-24 años","Total",020040001,6.810511126
2022,"Baja California","Tijuana","15-24 años","Hombres",020040001,5.406401317
2021,"Baja California","Tijuana","15-24 años","Hombres",020040001,5.990202043
2020,"Baja California","Tijuana","15-24 años","Hombres",020040001,5.967634335
2019,"Baja California","Tijuana","15-24 años","Hombres",020040001,4.403879538
2018,"Baja California","Tijuana","15-24 años","Hombres",020040001,4.777584458
2017,"Baja California","Tijuana","15-24 años","Hombres",020040001,5.826052493
2022,"Baja California","Tijuana","15-24 años","Mujeres",020040001,6.053899843
2021,"Baja California","Tijuana","15-24 años","Mujeres",020040001,7.720743891
2020,"Baja California","Tijuana","15-24 años","Mujeres",020040001,6.018083681
2019,"Baja California","Tijuana","15-24 años","Mujeres",020040001,5.253740779
2018,"Baja California","Tijuana","15-24 años","Mujeres",020040001,6.272987099
2017,"Baja California","Tijuana","15-24 años","Mujeres",020040001,7.82417074
2022,"Baja California","Tijuana","15-19 años","Total",020040001,4.347902735
2021,"Baja California","Tijuana","15-19 años","Total",020040001,4.8434238
2020,"Baja California","Tijuana","15-19 años","Total",020040001,3.97340609
2019,"Baja California","Tijuana","15-19 años","Total",020040001,3.885937937
2018,"Baja California","Tijuana","15-19 años","Total",020040001,4.117359358
2017,"Baja California","Tijuana","15-19 años","Total",020040001,5.615403931
2022,"Baja California","Tijuana","15-19 años","Hombres",020040001,4.322813746
2021,"Baja California","Tijuana","15-19 años","Hombres",020040001,4.498374919
2020,"Baja California","Tijuana","15-19 años","Hombres",020040001,4.364164427
2019,"Baja California","Tijuana","15-19 años","Hombres",020040001,4.490745423
2018,"Baja California","Tijuana","15-19 años","Hombres",020040001,4.702752641
2017,"Baja California","Tijuana","15-19 años","Hombres",020040001,5.655628371
2022,"Baja California","Tijuana","15-19 años","Mujeres",020040001,4.373250168
2021,"Baja California","Tijuana","15-19 años","Mujeres",020040001,5.211098683
2020,"Baja California","Tijuana","15-19 años","Mujeres",020040001,3.594375525
2019,"Baja California","Tijuana","15-19 años","Mujeres",020040001,3.287079796
2018,"Baja California","Tijuana","15-19 años","Mujeres",020040001,3.518815098
2017,"Baja California","Tijuana","15-19 años","Mujeres",020040001,5.570405356
2022,"Baja California","Tijuana","20-24 años","Total",020040001,7.07683636
2021,"Baja California","Tijuana","20-24 años","Total",020040001,8.780814776
2020,"Baja California","Tijuana","20-24 años","Total",020040001,8.205645715
2019,"Baja California","Tijuana","20-24 años","Total",020040001,5.85929552
2018,"Baja California","Tijuana","20-24 años","Total",020040001,6.959990816
2017,"Baja California","Tijuana","20-24 años","Total",020040001,7.958668792
2022,"Baja California","Tijuana","20-24 años","Hombres",020040001,6.457577132
2021,"Baja California","Tijuana","20-24 años","Hombres",020040001,7.521859838
2020,"Baja California","Tijuana","20-24 años","Hombres",020040001,7.849263057
2019,"Baja California","Tijuana","20-24 años","Hombres",020040001,4.307017544
2018,"Baja California","Tijuana","20-24 años","Hombres",020040001,4.855153621
2017,"Baja California","Tijuana","20-24 años","Hombres",020040001,6.003428461
2022,"Baja California","Tijuana","20-24 años","Mujeres",020040001,7.71501581
2021,"Baja California","Tijuana","20-24 años","Mujeres",020040001,9.936698318
2020,"Baja California","Tijuana","20-24 años","Mujeres",020040001,8.508315348
2019,"Baja California","Tijuana","20-24 años","Mujeres",020040001,7.278267145
2018,"Baja California","Tijuana","20-24 años","Mujeres",020040001,9.040992683
2017,"Baja California","Tijuana","20-24 años","Mujeres",020040001,9.81595092
2022,"Baja California Sur",,"15-24 años","Total",03,4.921938544
2021,"Baja California Sur",,"15-24 años","Total",03,6.306285197
2020,"Baja California Sur",,"15-24 años","Total",03,8.505216153
2019,"Baja California Sur",,"15-24 años","Total",03,6.522196192
2018,"Baja California Sur",,"15-24 años","Total",03,4.843890245
2017,"Baja California Sur",,"15-24 años","Total",03,6.408999709
2022,"Baja California Sur",,"15-24 años","Hombres",03,4.989712635
2021,"Baja California Sur",,"15-24 años","Hombres",03,5.468841685
2020,"Baja California Sur",,"15-24 años","Hombres",03,7.752918847
2019,"Baja California Sur",,"15-24 años","Hombres",03,5.023186194
2018,"Baja California Sur",,"15-24 años","Hombres",03,4.136138723
2017,"Baja California Sur",,"15-24 años","Hombres",03,5.2640446
2022,"Baja California Sur",,"15-24 años","Mujeres",03,4.846043517
2021,"Baja California Sur",,"15-24 años","Mujeres",03,7.259910128
2020,"Baja California Sur",,"15-24 años","Mujeres",03,9.372358586
2019,"Baja California Sur",,"15-24 años","Mujeres",03,8.094476565
2018,"Baja California Sur",,"15-24 años","Mujeres",03,5.566549729
2017,"Baja California Sur",,"15-24 años","Mujeres",03,7.555521519
2022,"Baja California Sur",,"15-19 años","Total",03,3.714281714
2021,"Baja California Sur",,"15-19 años","Total",03,3.431038752
2020,"Baja California Sur",,"15-19 años","Total",03,4.506367041
2019,"Baja California Sur",,"15-19 años","Total",03,4.120892
2018,"Baja California Sur",,"15-19 años","Total",03,3.259222201
