Year,Value
2022,13.1286074668183
2021,13.1286074668183
2020,13.0684126019556
2019,13.0680399373216
2018,13.1938020816221
2017,13.1952786790196
2016,13.1952786790196
2015,12.4275342089486
2014,13.2897702944146
2013,13.2897702944146
2012,13.371224301991
2011,13.371224301991
2010,13.371224301991
2009,13.371224301991
2008,12.9744953190235
2007,12.9744953190235
2006,16.9642504705473
2005,16.9642504705473
2004,16.9642504705473
2003,16.9642504705473
2002,16.9642504705473
2001,16.9642504705473
2000,16.9642504705473
1999,16.9642504705473
