Year,Entidad federativa,"Violencia sexual","Lugar de la(s) agresión(es)",GeoCode,Value
2011,"Zacatecas","Con al menos un incidente",,32,13.4197343031023
2021,"Estados Unidos Mexicanos","Sin incidentes",,00,77.4620661934358
2016,"Estados Unidos Mexicanos","Sin incidentes",,00,77.7912934010641
2011,"Estados Unidos Mexicanos","Sin incidentes",,00,84.4658036174361
2021,"Aguascalientes","Sin incidentes",,01,73.996397076425
2016,"Aguascalientes","Sin incidentes",,01,73.2575479063312
2011,"Aguascalientes","Sin incidentes",,01,82.1813560154927
2021,"Baja California","Sin incidentes",,02,80.7868622455193
2016,"Baja California","Sin incidentes",,02,79.2766609969746
2011,"Baja California","Sin incidentes",,02,83.5544794915598
2021,"Baja California Sur","Sin incidentes",,03,78.6413592824939
2016,"Baja California Sur","Sin incidentes",,03,85.2098664390086
2011,"Baja California Sur","Sin incidentes",,03,88.2874841418412
2021,"Campeche","Sin incidentes",,04,79.5948869547984
2016,"Campeche","Sin incidentes",,04,83.2245949257931
2011,"Campeche","Sin incidentes",,04,87.8804321179336
2021,"Coahuila de Zaragoza","Sin incidentes",,05,75.0217470731979
2016,"Coahuila de Zaragoza","Sin incidentes",,05,78.2017154687962
2011,"Coahuila de Zaragoza","Sin incidentes",,05,86.1350639875858
2021,"Colima","Sin incidentes",,06,73.2643688855806
2016,"Colima","Sin incidentes",,06,80.8477812901207
2011,"Colima","Sin incidentes",,06,83.3669362840428
2021,"Chiapas","Sin incidentes",,07,85.8143441921017
2016,"Chiapas","Sin incidentes",,07,86.4526588252265
2011,"Chiapas","Sin incidentes",,07,92.4649675236178
2021,"Chihuahua","Sin incidentes",,08,77.2952605007197
2016,"Chihuahua","Sin incidentes",,08,77.9451313177551
2011,"Chihuahua","Sin incidentes",,08,81.4606823754952
2021,"Ciudad de México","Sin incidentes",,09,71.9187695001389
2016,"Ciudad de México","Sin incidentes",,09,65.9824329548226
2011,"Ciudad de México","Sin incidentes",,09,80.143220674787
2021,"Durango","Sin incidentes",,10,77.2722121730698
2016,"Durango","Sin incidentes",,10,77.4357841851734
2011,"Durango","Sin incidentes",,10,85.641582022972
2021,"Guanajuato","Sin incidentes",,11,76.033061902624
2016,"Guanajuato","Sin incidentes",,11,77.9369771940819
2011,"Guanajuato","Sin incidentes",,11,83.5889232127096
2021,"Guerrero","Sin incidentes",,12,80.7117581964166
2016,"Guerrero","Sin incidentes",,12,85.9319807866457
2011,"Guerrero","Sin incidentes",,12,89.60419067092478
2021,"Hidalgo","Sin incidentes",,13,80.2291837369766
2016,"Hidalgo","Sin incidentes",,13,81.6750273720669
2011,"Hidalgo","Sin incidentes",,13,91.5357985837923
2021,"Jalisco","Sin incidentes",,14,74.3964257331467
2016,"Jalisco","Sin incidentes",,14,72.7355369688727
2011,"Jalisco","Sin incidentes",,14,81.7273083863434
2021,"México","Sin incidentes",,15,73.7601230505079
2016,"México","Sin incidentes",,15,70.9615875060112
2011,"México","Sin incidentes",,15,79.9860176491301
2021,"Michoacán de Ocampo","Sin incidentes",,16,79.6802653271052
2016,"Michoacán de Ocampo","Sin incidentes",,16,82.9136883991821
2011,"Michoacán de Ocampo","Sin incidentes",,16,86.9256369174776
2021,"Morelos","Sin incidentes",,17,77.1961866776916
2016,"Morelos","Sin incidentes",,17,79.3128707950675
2011,"Morelos","Sin incidentes",,17,84.4619189236931
2021,"Nayarit","Sin incidentes",,18,79.6826315555997
2016,"Nayarit","Sin incidentes",,18,84.2598075578748
2011,"Nayarit","Sin incidentes",,18,85.48462295170002
2021,"Nuevo León","Sin incidentes",,19,75.8293006687502
2016,"Nuevo León","Sin incidentes",,19,78.2141140413224
2011,"Nuevo León","Sin incidentes",,19,82.4179346968644
2021,"Oaxaca","Sin incidentes",,20,83.9013992169022
2016,"Oaxaca","Sin incidentes",,20,86.8509020186085
2011,"Oaxaca","Sin incidentes",,20,88.01566610766379
2021,"Puebla","Sin incidentes",,21,80.4182940245774
2016,"Puebla","Sin incidentes",,21,79.4622905146421
2011,"Puebla","Sin incidentes",,21,85.5154507137368
2021,"Querétaro","Sin incidentes",,22,72.2596998846672
2016,"Querétaro","Sin incidentes",,22,72.1469338789755
2011,"Querétaro","Sin incidentes",,22,84.6667661819884
2021,"Quintana Roo","Sin incidentes",,23,73.5704865690289
2016,"Quintana Roo","Sin incidentes",,23,75.3980837073947
