Year,Sexo,Grupo de edad,Value
2020,"Total",,43.91135477839999
2018,"Total",,41.905910510800005
2016,"Total",,43.23144826010002
2020,"Hombres",,43.40945611259999
2018,"Hombres",,41.163971956299996
2016,"Hombres",,42.56664344770001
2020,"Mujeres",,44.38108168600001
2018,"Mujeres",,42.6060943348
2016,"Mujeres",,43.854804894600015
2020,,"Menores de 18 años",52.59943295699998
2018,,"Menores de 18 años",50.26918330569999
2016,,"Menores de 18 años",51.31043786179999
2020,,"De 18 años o más",40.323199751800004
2018,,"De 18 años o más",38.069798531800004
2016,,"De 18 años o más",39.26479608009999
2020,,"Entre 12 y 29 años de edad",46.05575027790001
2018,,"Entre 12 y 29 años de edad",42.34255897359999
2016,,"Entre 12 y 29 años de edad",43.8745631182
2020,,"De 0 a 11 años y de 30 años o más",42.98756791260001
2018,,"De 0 a 11 años y de 30 años o más",41.71375737020001
2016,,"De 0 a 11 años y de 30 años o más",42.94770346320001
2020,,"De 65 años o más",37.8736610153
2018,,"De 65 años o más",43.17322365590001
2016,,"De 65 años o más",42.48201988609999
2020,,"Menores de 65 años",44.53613648499999
2018,,"Menores de 65 años",41.79080316520001
2016,,"Menores de 65 años",43.2950407184
