Year,Entidad federativa,Áreas metropolitanas autorrepresentadas,"Sexo",GeoCode,Value
2019,"Tabasco","Área Metropolitana Villahermosa","Hombres",9016001,59.38438738999983
2017,"Tabasco","Área Metropolitana Villahermosa","Hombres",9016001,24.69281745999994
2021,"Tabasco","Área Metropolitana Villahermosa","Mujeres",9016001,64.20856965292498
2019,"Tabasco","Área Metropolitana Villahermosa","Mujeres",9016001,52.63880643999989
2017,"Tabasco","Área Metropolitana Villahermosa","Mujeres",9016001,17.870603620000058
2021,"Tamaulipas",,"Total",28,64.29168929289425
2019,"Tamaulipas",,"Total",28,58.32142009000011
2017,"Tamaulipas",,"Total",28,39.98564253999999
2021,"Tamaulipas",,"Hombres",28,68.94109396914433
2019,"Tamaulipas",,"Hombres",28,57.38033137999993
2017,"Tamaulipas",,"Hombres",28,40.41048555999994
2021,"Tamaulipas",,"Mujeres",28,60.59494992415063
2019,"Tamaulipas",,"Mujeres",28,59.1585225899999
2017,"Tamaulipas",,"Mujeres",28,39.631313660000075
2021,"Tamaulipas","Área Metropolitana Tampico","Total",9009001,64.74989275281403
2019,"Tamaulipas","Área Metropolitana Tampico","Total",9009001,60.213828969999874
2017,"Tamaulipas","Área Metropolitana Tampico","Total",9009001,39.44049679
2021,"Tamaulipas","Área Metropolitana Tampico","Hombres",9009001,70.20553255955448
2019,"Tamaulipas","Área Metropolitana Tampico","Hombres",9009001,57.10310374999992
2017,"Tamaulipas","Área Metropolitana Tampico","Hombres",9009001,41.965023120000005
2021,"Tamaulipas","Área Metropolitana Tampico","Mujeres",9009001,60.66560495333936
2019,"Tamaulipas","Área Metropolitana Tampico","Mujeres",9009001,63.01994148999989
2017,"Tamaulipas","Área Metropolitana Tampico","Mujeres",9009001,37.47661005999999
2021,"Tlaxcala",,"Total",29,58.5964995115007
2019,"Tlaxcala",,"Total",29,56.332267189999854
2017,"Tlaxcala",,"Total",29,36.04758352999994
2021,"Tlaxcala",,"Hombres",29,62.2930553872257
2019,"Tlaxcala",,"Hombres",29,61.86858547999987
2017,"Tlaxcala",,"Hombres",29,37.51703025999996
2021,"Tlaxcala",,"Mujeres",29,55.57802438509434
2019,"Tlaxcala",,"Mujeres",29,51.30950780999985
2017,"Tlaxcala",,"Mujeres",29,34.71520568000003
2021,"Tlaxcala","Área Metropolitana Tlaxcala","Total",9029001,58.5964995115007
2019,"Tlaxcala","Área Metropolitana Tlaxcala","Total",9029001,56.332267189999854
2017,"Tlaxcala","Área Metropolitana Tlaxcala","Total",9029001,36.04758352999994
2021,"Tlaxcala","Área Metropolitana Tlaxcala","Hombres",9029001,62.2930553872257
2019,"Tlaxcala","Área Metropolitana Tlaxcala","Hombres",9029001,61.86858547999987
2017,"Tlaxcala","Área Metropolitana Tlaxcala","Hombres",9029001,37.51703025999996
2021,"Tlaxcala","Área Metropolitana Tlaxcala","Mujeres",9029001,55.57802438509434
2019,"Tlaxcala","Área Metropolitana Tlaxcala","Mujeres",9029001,51.30950780999985
2017,"Tlaxcala","Área Metropolitana Tlaxcala","Mujeres",9029001,34.71520568000003
2021,"Veracruz de Ignacio de la Llave",,"Total",30,59.34647686262653
2019,"Veracruz de Ignacio de la Llave",,"Total",30,63.1549201400001
2017,"Veracruz de Ignacio de la Llave",,"Total",30,15.779715359999969
2021,"Veracruz de Ignacio de la Llave",,"Hombres",30,65.33779069044164
2019,"Veracruz de Ignacio de la Llave",,"Hombres",30,63.89890122999991
2017,"Veracruz de Ignacio de la Llave",,"Hombres",30,16.232103779999992
2021,"Veracruz de Ignacio de la Llave",,"Mujeres",30,54.47905181918401
2019,"Veracruz de Ignacio de la Llave",,"Mujeres",30,62.62889996000008
2017,"Veracruz de Ignacio de la Llave",,"Mujeres",30,15.36777740000002
2021,"Veracruz de Ignacio de la Llave","Área Metropolitana Veracruz","Total",9010001,55.00983529493353
2019,"Veracruz de Ignacio de la Llave","Área Metropolitana Veracruz","Total",9010001,53.304209140000026
2017,"Veracruz de Ignacio de la Llave","Área Metropolitana Veracruz","Total",9010001,17.521324829999973
2021,"Veracruz de Ignacio de la Llave","Área Metropolitana Veracruz","Hombres",9010001,57.97627506800201
2019,"Veracruz de Ignacio de la Llave","Área Metropolitana Veracruz","Hombres",9010001,58.01361234999988
2017,"Veracruz de Ignacio de la Llave","Área Metropolitana Veracruz","Hombres",9010001,14.699929119999982
2021,"Veracruz de Ignacio de la Llave","Área Metropolitana Veracruz","Mujeres",9010001,52.811137202281245
2019,"Veracruz de Ignacio de la Llave","Área Metropolitana Veracruz","Mujeres",9010001,50.493612760000076
2017,"Veracruz de Ignacio de la Llave","Área Metropolitana Veracruz","Mujeres",9010001,20.528617550000025
2021,"Yucatán",,"Total",31,59.3100467039822
2019,"Yucatán",,"Total",31,61.78932938999989
2017,"Yucatán",,"Total",31,40.21412371000005
2021,"Yucatán",,"Hombres",31,64.93929801929518
2019,"Yucatán",,"Hombres",31,68.93541074000017
2017,"Yucatán",,"Hombres",31,44.380412970000094
2021,"Yucatán",,"Mujeres",31,54.00084431118284
2019,"Yucatán",,"Mujeres",31,56.019016420000085
2017,"Yucatán",,"Mujeres",31,36.5774695199999
2021,"Yucatán","Área Metropolitana Mérida","Total",9007001,59.3100467039822
2019,"Yucatán","Área Metropolitana Mérida","Total",9007001,61.78932938999989
2017,"Yucatán","Área Metropolitana Mérida","Total",9007001,40.21412371000005
2021,"Yucatán","Área Metropolitana Mérida","Hombres",9007001,64.93929801929518
2019,"Yucatán","Área Metropolitana Mérida","Hombres",9007001,68.93541074000017
2017,"Yucatán","Área Metropolitana Mérida","Hombres",9007001,44.380412970000094
2021,"Yucatán","Área Metropolitana Mérida","Mujeres",9007001,54.00084431118284
2019,"Yucatán","Área Metropolitana Mérida","Mujeres",9007001,56.019016420000085
2017,"Yucatán","Área Metropolitana Mérida","Mujeres",9007001,36.5774695199999
2021,"Zacatecas",,"Total",32,47.88977494240655
2019,"Zacatecas",,"Total",32,43.749523329999974
2017,"Zacatecas",,"Total",32,38.50498069999997
2021,"Zacatecas",,"Hombres",32,49.79510516425555
2019,"Zacatecas",,"Hombres",32,45.234395890000066
2017,"Zacatecas",,"Hombres",32,41.35408404999999
2021,"Zacatecas",,"Mujeres",32,46.20262892350457
2019,"Zacatecas",,"Mujeres",32,42.38044789000007
2017,"Zacatecas",,"Mujeres",32,35.89191251000008
2021,"Zacatecas","Área Metropolitana Zacatecas","Total",9026001,54.0527082890294
2019,"Zacatecas","Área Metropolitana Zacatecas","Total",9026001,47.49290541000003
2017,"Zacatecas","Área Metropolitana Zacatecas","Total",9026001,37.54744304999994
2021,"Zacatecas","Área Metropolitana Zacatecas","Hombres",9026001,55.662274805055006
2019,"Zacatecas","Área Metropolitana Zacatecas","Hombres",9026001,49.71753156999991
2017,"Zacatecas","Área Metropolitana Zacatecas","Hombres",9026001,39.94330327999988
2021,"Zacatecas","Área Metropolitana Zacatecas","Mujeres",9026001,52.55354531065308
2019,"Zacatecas","Área Metropolitana Zacatecas","Mujeres",9026001,45.32674695999991
2017,"Zacatecas","Área Metropolitana Zacatecas","Mujeres",9026001,35.47859586000001
