Year,Value
2018,10.961846914883902
2017,10.961846914883902
2016,10.9538908277941
2015,10.744908178097901
2014,10.7402291567332
2013,10.7402291567332
2012,10.7402291567332
2011,10.7366132653984
2010,10.7366132653984
2009,10.6679870257042
2008,10.1880661788208
2007,10.1602278040972
2006,9.90260779057612
2005,9.90260779057612
2004,9.529599421353911
2003,9.529599421353911
2002,9.526329274460329
2001,9.52094609352933
2000,9.52094609352933
1999,9.278735200814141
1998,9.16526523944835
1997,8.82661657388167
1996,8.6299641403566
1995,8.57087601719208
1994,8.42578308792537
1993,7.71180786481768
1992,7.12998013989368
