Year,Entidad federativa,"Jóvenes de 15 a 24 años","Jóvenes de 15 a 19 años","Jóvenes de 20 a 24 años",GeoCode,Value
2020,"Quintana Roo","En áreas menos urbanizadas",,,23,10.50300793
2019,"Quintana Roo","En áreas menos urbanizadas",,,23,5.990273029
2018,"Quintana Roo","En áreas menos urbanizadas",,,23,7.484541604
2017,"Quintana Roo","En áreas menos urbanizadas",,,23,7.005882425
2022,"San Luis Potosí","En áreas menos urbanizadas",,,24,11.06907066
2021,"San Luis Potosí","En áreas menos urbanizadas",,,24,12.29353088
2020,"San Luis Potosí","En áreas menos urbanizadas",,,24,10.72245135
2019,"San Luis Potosí","En áreas menos urbanizadas",,,24,10.86491709
2018,"San Luis Potosí","En áreas menos urbanizadas",,,24,9.774985057
2017,"San Luis Potosí","En áreas menos urbanizadas",,,24,11.25970154
2022,"Sinaloa","En áreas menos urbanizadas",,,25,8.67676077
2021,"Sinaloa","En áreas menos urbanizadas",,,25,8.579052186
2020,"Sinaloa","En áreas menos urbanizadas",,,25,9.237632802
2019,"Sinaloa","En áreas menos urbanizadas",,,25,7.70104169
2018,"Sinaloa","En áreas menos urbanizadas",,,25,7.567278062
2017,"Sinaloa","En áreas menos urbanizadas",,,25,9.498147524
2022,"Sonora","En áreas menos urbanizadas",,,26,7.338697002
2021,"Sonora","En áreas menos urbanizadas",,,26,8.035559316
2020,"Sonora","En áreas menos urbanizadas",,,26,9.357396076
2019,"Sonora","En áreas menos urbanizadas",,,26,10.88718318
2018,"Sonora","En áreas menos urbanizadas",,,26,7.064557428
2017,"Sonora","En áreas menos urbanizadas",,,26,8.358384629
2022,"Tabasco","En áreas menos urbanizadas",,,27,9.620605121
2021,"Tabasco","En áreas menos urbanizadas",,,27,9.12009286
2020,"Tabasco","En áreas menos urbanizadas",,,27,10.84393361
2019,"Tabasco","En áreas menos urbanizadas",,,27,10.76221843
2018,"Tabasco","En áreas menos urbanizadas",,,27,10.94857808
2017,"Tabasco","En áreas menos urbanizadas",,,27,10.87182652
2022,"Tamaulipas","En áreas menos urbanizadas",,,28,10.37124661
2021,"Tamaulipas","En áreas menos urbanizadas",,,28,12.4170603
2020,"Tamaulipas","En áreas menos urbanizadas",,,28,10.08553885
2019,"Tamaulipas","En áreas menos urbanizadas",,,28,9.198542124
2018,"Tamaulipas","En áreas menos urbanizadas",,,28,11.074897
2017,"Tamaulipas","En áreas menos urbanizadas",,,28,11.43701052
2022,"Tlaxcala","En áreas menos urbanizadas",,,29,9.181021921
2021,"Tlaxcala","En áreas menos urbanizadas",,,29,10.80887237
2020,"Tlaxcala","En áreas menos urbanizadas",,,29,11.45852375
2019,"Tlaxcala","En áreas menos urbanizadas",,,29,8.30612894
2018,"Tlaxcala","En áreas menos urbanizadas",,,29,7.522812984
2017,"Tlaxcala","En áreas menos urbanizadas",,,29,7.546417413
2022,"Veracruz de Ignacio de la Llave","En áreas menos urbanizadas",,,30,10.93337675
2021,"Veracruz de Ignacio de la Llave","En áreas menos urbanizadas",,,30,11.24511508
2020,"Veracruz de Ignacio de la Llave","En áreas menos urbanizadas",,,30,9.704105866
2019,"Veracruz de Ignacio de la Llave","En áreas menos urbanizadas",,,30,9.50662462
2018,"Veracruz de Ignacio de la Llave","En áreas menos urbanizadas",,,30,9.634840036
2017,"Veracruz de Ignacio de la Llave","En áreas menos urbanizadas",,,30,9.994778636
2022,"Yucatán","En áreas menos urbanizadas",,,31,6.404573596
2021,"Yucatán","En áreas menos urbanizadas",,,31,7.238990168
2020,"Yucatán","En áreas menos urbanizadas",,,31,8.351038442
2019,"Yucatán","En áreas menos urbanizadas",,,31,6.339611918
2018,"Yucatán","En áreas menos urbanizadas",,,31,6.066764125
2017,"Yucatán","En áreas menos urbanizadas",,,31,6.553625084
2022,"Zacatecas","En áreas menos urbanizadas",,,32,9.974570948
2021,"Zacatecas","En áreas menos urbanizadas",,,32,9.178938043
2020,"Zacatecas","En áreas menos urbanizadas",,,32,9.839512764
2019,"Zacatecas","En áreas menos urbanizadas",,,32,9.316197172
2018,"Zacatecas","En áreas menos urbanizadas",,,32,7.921607626
2017,"Zacatecas","En áreas menos urbanizadas",,,32,8.114970133
2022,"Estados Unidos Mexicanos","Con Primaria completa",,,00,12.2720518
2021,"Estados Unidos Mexicanos","Con Primaria completa",,,00,12.49432613
2020,"Estados Unidos Mexicanos","Con Primaria completa",,,00,15.44390778
2019,"Estados Unidos Mexicanos","Con Primaria completa",,,00,11.67793743
2018,"Estados Unidos Mexicanos","Con Primaria completa",,,00,10.2039
2017,"Estados Unidos Mexicanos","Con Primaria completa",,,00,9.987806488
