Year,Value
2021,64.2242779653341
2020,64.1831809458677
2019,64.8243182193729
2018,65.51793332981
2017,65.0609543668024
2016,65.3049046208957
2015,65.8401911388785
2014,64.2292600955971
2013,64.2289620465607
2012,65.9510365333731
2011,63.39460160829
2010,64.2385502894455
2009,61.8957313374427
2008,67.2448995273975
2007,66.9064756096635
2006,68.2894719110886
2005,63.398183756348
2004,65.2327442541312
2003,62.9983161280627
