Year,Entidad federativa,Principales ciudades,"Habilidades para uso de PC",GeoCode,Value
2016 P/,"Aguascalientes","Aguascalientes","Crear / usar base de datos",010010001,34.9232952060972
2018,"Aguascalientes","Aguascalientes","Descargar contenidos de Internet (música, videos, documentos, etcétera)",010010001,47.856907954836096
2017,"Aguascalientes","Aguascalientes","Descargar contenidos de Internet (música, videos, documentos, etcétera)",010010001,47.840102828423
2016 P/,"Aguascalientes","Aguascalientes","Descargar contenidos de Internet (música, videos, documentos, etcétera)",010010001,55.282664964581194
2018,"Aguascalientes","Aguascalientes","Enviar y recibir correo electrónico",010010001,42.0173806106776
2017,"Aguascalientes","Aguascalientes","Enviar y recibir correo electrónico",010010001,41.6508990431672
2016 P/,"Aguascalientes","Aguascalientes","Enviar y recibir correo electrónico",010010001,48.8330141923122
2018,"Aguascalientes","Aguascalientes","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",010010001,28.3504044009712
2017,"Aguascalientes","Aguascalientes","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",010010001,30.077570293668998
2016 P/,"Aguascalientes","Aguascalientes","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",010010001,33.9939356679576
2018,"Baja California",,"Copiar archivos entre carpetas",02,40.7257716663075
2017,"Baja California",,"Copiar archivos entre carpetas",02,38.8159058631586
2016 P/,"Baja California",,"Copiar archivos entre carpetas",02,44.7689863759792
2018,"Baja California",,"Crear archivos de texto",02,43.3837442464499
2017,"Baja California",,"Crear archivos de texto",02,40.3081708773361
2016 P/,"Baja California",,"Crear archivos de texto",02,45.695419793566
2018,"Baja California",,"Crear hojas de cálculo",02,33.1406591021742
2017,"Baja California",,"Crear hojas de cálculo",02,30.2307595913333
2016 P/,"Baja California",,"Crear hojas de cálculo",02,31.776475283475104
2018,"Baja California",,"Crear presentaciones",02,36.5970424355225
2017,"Baja California",,"Crear presentaciones",02,34.6593952558098
2016 P/,"Baja California",,"Crear presentaciones",02,37.7724217264397
2018,"Baja California",,"Crear / usar base de datos",02,22.3829744512767
2017,"Baja California",,"Crear / usar base de datos",02,24.8170373628318
2016 P/,"Baja California",,"Crear / usar base de datos",02,31.641158472169
2018,"Baja California",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",02,50.8796134732491
2017,"Baja California",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",02,46.9219154655488
2016 P/,"Baja California",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",02,54.230301512649795
2018,"Baja California",,"Enviar y recibir correo electrónico",02,44.3049134333616
2017,"Baja California",,"Enviar y recibir correo electrónico",02,43.1253102102796
2016 P/,"Baja California",,"Enviar y recibir correo electrónico",02,48.0098600035997
2018,"Baja California",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",02,31.734197331476896
2017,"Baja California",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",02,29.622532446152395
2016 P/,"Baja California",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",02,31.9042797110862
2018,"Baja California","Ensenada","Copiar archivos entre carpetas",020010001,45.0873842008844
2017,"Baja California","Ensenada","Copiar archivos entre carpetas",020010001,41.5807079268618
2016 P/,"Baja California","Ensenada","Copiar archivos entre carpetas",020010001,48.32464401261151
2018,"Baja California","Ensenada","Crear archivos de texto",020010001,47.758207216558596
