Year,Value
2021,3.498346508
2020 P/,-11.79067671
2019,-1.641528397
2018,0.72190574
2017,2.170184567
2016,2.129446508
2015,2.40948124
2014,0.17551491
2013,1.76452789
2012,2.467020227
2011,1.063628583
2010,1.096354774
2009,-3.382435134
