Year,Entidad federativa,"Sexo","Grupos de edad en plazas del Poder judicial",GeoCode,Value
2020,"Poder judicial estatal","Mujeres","Total",8102000,1.12126439831754
2019,"Poder judicial estatal","Mujeres","Total",8102000,1.10538640831047
2020,"Poder judicial estatal","Mujeres","De 18 a 24 años",8102000,0.027707990538233
2019,"Poder judicial estatal","Mujeres","De 18 a 24 años",8102000,0.03039674836016199
2020,"Poder judicial estatal","Mujeres","De 25 a 34 años",8102000,0.559599591063459
2019,"Poder judicial estatal","Mujeres","De 25 a 34 años",8102000,0.580466177450787
2020,"Poder judicial estatal","Mujeres","De 35 a 44 años",8102000,1.6157083958245102
2019,"Poder judicial estatal","Mujeres","De 35 a 44 años",8102000,1.6357160516675004
2020,"Poder judicial estatal","Mujeres","De 45 a 54 años",8102000,2.03164330495802
2019,"Poder judicial estatal","Mujeres","De 45 a 54 años",8102000,2.01540204587995
2020,"Poder judicial estatal","Mujeres","De 55 a 59 años",8102000,1.14912490179986
2019,"Poder judicial estatal","Mujeres","De 55 a 59 años",8102000,1.10010056451284
2020,"Poder judicial estatal","Mujeres","De 60 años y más",8102000,0.53314803495427
2019,"Poder judicial estatal","Mujeres","De 60 años y más",8102000,0.530160487086749
2020,"Aguascalientes","Total","Total",8103001,1
2019,"Aguascalientes","Total","Total",8103001,1
2020,"Aguascalientes","Total","De 18 a 24 años",8103001,0
2019,"Aguascalientes","Total","De 18 a 24 años",8103001,0.028660371194085994
2020,"Aguascalientes","Total","De 25 a 34 años",8103001,0.9980801096371368
2019,"Aguascalientes","Total","De 25 a 34 años",8103001,0.9237191772259009
2020,"Aguascalientes","Total","De 35 a 44 años",8103001,1.64533061048718
2019,"Aguascalientes","Total","De 35 a 44 años",8103001,1.7421080954990098
2020,"Aguascalientes","Total","De 45 a 54 años",8103001,1.8217509691641902
2019,"Aguascalientes","Total","De 45 a 54 años",8103001,1.81923256333099
2020,"Aguascalientes","Total","De 55 a 59 años",8103001,0.8028999039902589
2019,"Aguascalientes","Total","De 55 a 59 años",8103001,0.8986194946352468
2020,"Aguascalientes","Total","De 60 años y más",8103001,0.369896641959359
2019,"Aguascalientes","Total","De 60 años y más",8103001,0.252009425140685
2020,"Aguascalientes","Hombres","Total",8103001,0.616520869389315
2019,"Aguascalientes","Hombres","Total",8103001,0.613230955227256
2020,"Aguascalientes","Hombres","De 18 a 24 años",8103001,0
2019,"Aguascalientes","Hombres","De 18 a 24 años",8103001,0.09173684507521498
2020,"Aguascalientes","Hombres","De 25 a 34 años",8103001,0.8797034107760748
2019,"Aguascalientes","Hombres","De 25 a 34 años",8103001,0.7348732869491881
2020,"Aguascalientes","Hombres","De 35 a 44 años",8103001,0.876394224739803
2019,"Aguascalientes","Hombres","De 35 a 44 años",8103001,0.875616317955754
2020,"Aguascalientes","Hombres","De 45 a 54 años",8103001,2.5047612153967402
2019,"Aguascalientes","Hombres","De 45 a 54 años",8103001,2.6289896786534297
2020,"Aguascalientes","Hombres","De 55 a 59 años",8103001,1.53722035069534
2019,"Aguascalientes","Hombres","De 55 a 59 años",8103001,1.8611986842667396
2020,"Aguascalientes","Hombres","De 60 años y más",8103001,0.8440545198777107
2019,"Aguascalientes","Hombres","De 60 años y más",8103001,0.649206015714288
2020,"Aguascalientes","Mujeres","Total",8103001,1.3634633615317902
2019,"Aguascalientes","Mujeres","Total",8103001,1.3662144111577503
2020,"Aguascalientes","Mujeres","De 18 a 24 años",8103001,0
2019,"Aguascalientes","Mujeres","De 18 a 24 años",8103001,0
2020,"Aguascalientes","Mujeres","De 25 a 34 años",8103001,1.06879730461738
2019,"Aguascalientes","Mujeres","De 25 a 34 años",8103001,1.02230034027939
2020,"Aguascalientes","Mujeres","De 35 a 44 años",8103001,1.9327335321821602
2019,"Aguascalientes","Mujeres","De 35 a 44 años",8103001,2.06041854649296
2020,"Aguascalientes","Mujeres","De 45 a 54 años",8103001,1.51476225300277
2019,"Aguascalientes","Mujeres","De 45 a 54 años",8103001,1.4651253702767897
2020,"Aguascalientes","Mujeres","De 55 a 59 años",8103001,0.4944229940276181
2019,"Aguascalientes","Mujeres","De 55 a 59 años",8103001,0.498669180917702
2020,"Aguascalientes","Mujeres","De 60 años y más",8103001,0.17188305854597402
2019,"Aguascalientes","Mujeres","De 60 años y más",8103001,0.08779660370158401
2020,"Baja California","Total","Total",8103002,1
2019,"Baja California","Total","Total",8103002,1
2020,"Baja California","Total","De 18 a 24 años",8103002,0
2019,"Baja California","Total","De 18 a 24 años",8103002,0
2020,"Baja California","Total","De 25 a 34 años",8103002,0.131170362483043
2019,"Baja California","Total","De 25 a 34 años",8103002,0.16124046845611997
2020,"Baja California","Total","De 35 a 44 años",8103002,0.8839422902967992
2019,"Baja California","Total","De 35 a 44 años",8103002,1.10893398714995
2020,"Baja California","Total","De 45 a 54 años",8103002,2.3440057968923607
2019,"Baja California","Total","De 45 a 54 años",8103002,2.36867678455226
2020,"Baja California","Total","De 55 a 59 años",8103002,3.2508951598304203
2019,"Baja California","Total","De 55 a 59 años",8103002,2.81484978351897
2020,"Baja California","Total","De 60 años y más",8103002,1.33706607150613
2019,"Baja California","Total","De 60 años y más",8103002,1.09557487854736
2020,"Baja California","Hombres","Total",8103002,0.6823727064173671
2019,"Baja California","Hombres","Total",8103002,0.684024935799703
2020,"Baja California","Hombres","De 18 a 24 años",8103002,0
2019,"Baja California","Hombres","De 18 a 24 años",8103002,0
2020,"Baja California","Hombres","De 25 a 34 años",8103002,0.158320732047477
2019,"Baja California","Hombres","De 25 a 34 años",8103002,0.155781441596756
2020,"Baja California","Hombres","De 35 a 44 años",8103002,0.5436046886276938
2019,"Baja California","Hombres","De 35 a 44 años",8103002,0.60758105305471
2020,"Baja California","Hombres","De 45 a 54 años",8103002,2.44580769579428
2019,"Baja California","Hombres","De 45 a 54 años",8103002,2.58620644067392
2020,"Baja California","Hombres","De 55 a 59 años",8103002,2.9782658079342896
2019,"Baja California","Hombres","De 55 a 59 años",8103002,2.74539618306871
2020,"Baja California","Hombres","De 60 años y más",8103002,2.1311342780382
2019,"Baja California","Hombres","De 60 años y más",8103002,1.9903930900758
2020,"Baja California","Mujeres","Total",8103002,1.31687554816849
2019,"Baja California","Mujeres","Total",8103002,1.31520978645365
2020,"Baja California","Mujeres","De 18 a 24 años",8103002,0
2019,"Baja California","Mujeres","De 18 a 24 años",8103002,0
2020,"Baja California","Mujeres","De 25 a 34 años",8103002,0.117596201670255
2019,"Baja California","Mujeres","De 25 a 34 años",8103002,0.164909757366548
2020,"Baja California","Mujeres","De 35 a 44 años",8103002,1.0464424336102203
2019,"Baja California","Mujeres","De 35 a 44 años",8103002,1.35110709228371
2020,"Baja California","Mujeres","De 45 a 54 años",8103002,2.29046261518635
2019,"Baja California","Mujeres","De 45 a 54 años",8103002,2.2588096350414406
2020,"Baja California","Mujeres","De 55 a 59 años",8103002,3.3935857723309004
2019,"Baja California","Mujeres","De 55 a 59 años",8103002,2.8515839284862996
2020,"Baja California","Mujeres","De 60 años y más",8103002,0.9333035900916798
2019,"Baja California","Mujeres","De 60 años y más",8103002,0.647522699992383
2020,"Baja California Sur","Total","Total",8103003,1
2019,"Baja California Sur","Total","Total",8103003,1
2020,"Baja California Sur","Total","De 18 a 24 años",8103003,0
2019,"Baja California Sur","Total","De 18 a 24 años",8103003,0
2020,"Baja California Sur","Total","De 25 a 34 años",8103003,0.45188311036133694
2019,"Baja California Sur","Total","De 25 a 34 años",8103003,0.605515623473187
2020,"Baja California Sur","Total","De 35 a 44 años",8103003,1.81823339809667
2019,"Baja California Sur","Total","De 35 a 44 años",8103003,1.9564747606600703
2020,"Baja California Sur","Total","De 45 a 54 años",8103003,1.9256758776829197
2019,"Baja California Sur","Total","De 45 a 54 años",8103003,1.7010468342194796
2020,"Baja California Sur","Total","De 55 a 59 años",8103003,0.9399782634537333
2019,"Baja California Sur","Total","De 55 a 59 años",8103003,0.8162964549101599
2020,"Baja California Sur","Total","De 60 años y más",8103003,0.750496695501583
2019,"Baja California Sur","Total","De 60 años y más",8103003,0.523728600274073
2020,"Baja California Sur","Hombres","Total",8103003,0.8188569197115702
2019,"Baja California Sur","Hombres","Total",8103003,0.8599530657671429
2020,"Baja California Sur","Hombres","De 18 a 24 años",8103003,0
2019,"Baja California Sur","Hombres","De 18 a 24 años",8103003,0
2020,"Baja California Sur","Hombres","De 25 a 34 años",8103003,0.44362470267396004
2019,"Baja California Sur","Hombres","De 25 a 34 años",8103003,0.6176664421990169
2020,"Baja California Sur","Hombres","De 35 a 44 años",8103003,2.04362296561044
2019,"Baja California Sur","Hombres","De 35 a 44 años",8103003,2.06700008681335
2020,"Baja California Sur","Hombres","De 45 a 54 años",8103003,1.9024259892893498
2019,"Baja California Sur","Hombres","De 45 a 54 años",8103003,1.6915613844798503
2020,"Baja California Sur","Hombres","De 55 a 59 años",8103003,0.687606232056249
2019,"Baja California Sur","Hombres","De 55 a 59 años",8103003,0.71022558212875
2020,"Baja California Sur","Hombres","De 60 años y más",8103003,0.510028610374631
2019,"Baja California Sur","Hombres","De 60 años y más",8103003,0.354140458422175
2020,"Baja California Sur","Mujeres","Total",8103003,1.19051525115033
2019,"Baja California Sur","Mujeres","Total",8103003,1.1472723671558198
2020,"Baja California Sur","Mujeres","De 18 a 24 años",8103003,0
2019,"Baja California Sur","Mujeres","De 18 a 24 años",8103003,0
2020,"Baja California Sur","Mujeres","De 25 a 34 años",8103003,0.46143594750514005
2019,"Baja California Sur","Mujeres","De 25 a 34 años",8103003,0.5986989863793591
2020,"Baja California Sur","Mujeres","De 35 a 44 años",8103003,1.6540288753278103
2019,"Baja California Sur","Mujeres","De 35 a 44 años",8103003,1.8671986552510798
2020,"Baja California Sur","Mujeres","De 45 a 54 años",8103003,1.9361738373989605
2019,"Baja California Sur","Mujeres","De 45 a 54 años",8103003,1.70480401238172
2020,"Baja California Sur","Mujeres","De 55 a 59 años",8103003,1.1072184567353103
2019,"Baja California Sur","Mujeres","De 55 a 59 años",8103003,0.8915218480339241
2020,"Baja California Sur","Mujeres","De 60 años y más",8103003,0.899117778520315
2019,"Baja California Sur","Mujeres","De 60 años y más",8103003,0.641046845233414
2020,"Campeche","Total","Total",8103004,1
2019,"Campeche","Total","Total",8103004,1
2020,"Campeche","Total","De 18 a 24 años",8103004,0.033860011861392
2019,"Campeche","Total","De 18 a 24 años",8103004,0.042057924972899
2020,"Campeche","Total","De 25 a 34 años",8103004,0.6650506559471508
2019,"Campeche","Total","De 25 a 34 años",8103004,0.359861082075243
2020,"Campeche","Total","De 35 a 44 años",8103004,1.56539512070733
2019,"Campeche","Total","De 35 a 44 años",8103004,1.5648491474318003
2020,"Campeche","Total","De 45 a 54 años",8103004,1.7478057903879098
2019,"Campeche","Total","De 45 a 54 años",8103004,2.06646244201866
2020,"Campeche","Total","De 55 a 59 años",8103004,1.40009847947157
2019,"Campeche","Total","De 55 a 59 años",8103004,1.35961553354616
2020,"Campeche","Total","De 60 años y más",8103004,0.9129352132739827
2019,"Campeche","Total","De 60 años y más",8103004,1.2674324095875
2020,"Campeche","Hombres","Total",8103004,0.7246682906693229
2019,"Campeche","Hombres","Total",8103004,0.796395636873391
2020,"Campeche","Hombres","De 18 a 24 años",8103004,0
2019,"Campeche","Hombres","De 18 a 24 años",8103004,0
2020,"Campeche","Hombres","De 25 a 34 años",8103004,0.627405930401626
2019,"Campeche","Hombres","De 25 a 34 años",8103004,0.304487014918883
2020,"Campeche","Hombres","De 35 a 44 años",8103004,1.1210781980585998
2019,"Campeche","Hombres","De 35 a 44 años",8103004,1.10436713866691
2020,"Campeche","Hombres","De 45 a 54 años",8103004,1.4027934546049303
2019,"Campeche","Hombres","De 45 a 54 años",8103004,1.7481248776798102
2020,"Campeche","Hombres","De 55 a 59 años",8103004,2.3415492145359305
2019,"Campeche","Hombres","De 55 a 59 años",8103004,2.24351603794077
2020,"Campeche","Hombres","De 60 años y más",8103004,2.15138907160204
2019,"Campeche","Hombres","De 60 años y más",8103004,2.63552800948109
2020,"Campeche","Mujeres","Total",8103004,1.26491218235938
2019,"Campeche","Mujeres","Total",8103004,1.19582087334405
2020,"Campeche","Mujeres","De 18 a 24 años",8103004,0.05361875304694601
2019,"Campeche","Mujeres","De 18 a 24 años",8103004,0.070447413938253
2020,"Campeche","Mujeres","De 25 a 34 años",8103004,0.6896431369937359
2019,"Campeche","Mujeres","De 25 a 34 años",8103004,0.39701124476296595
2020,"Campeche","Mujeres","De 35 a 44 años",8103004,1.79083250611714
2019,"Campeche","Mujeres","De 35 a 44 años",8103004,1.84067533150173
2020,"Campeche","Mujeres","De 45 a 54 años",8103004,1.93420355779174
2019,"Campeche","Mujeres","De 45 a 54 años",8103004,2.26796741309008
2020,"Campeche","Mujeres","De 55 a 59 años",8103004,0.8870963246037988
2019,"Campeche","Mujeres","De 55 a 59 años",8103004,0.8016268021754558
2020,"Campeche","Mujeres","De 60 años y más",8103004,0.248330575816362
2019,"Campeche","Mujeres","De 60 años y más",8103004,0.41007625095544403
2020,"Coahuila de Zaragoza","Total","Total",8103005,1
2019,"Coahuila de Zaragoza","Total","Total",8103005,1
2020,"Coahuila de Zaragoza","Total","De 18 a 24 años",8103005,0.018129960254234998
