Year,Value
2023/I,3.55445419
2022/IV,4.116474959
2022/III,4.384048079
2022/II,4.210500012
2022/I P/,3.787550255
2021/IV,4.386932156
2021/III,4.285134336
2021/II,4.038585834
2021/I,3.456595314
2020/IV,3.46243758
2020/III,4.013327788
2020/II,4.56335491
2020/I,3.03863716
2019/IV,2.823353612
2019/III,3.121769549
2019/II,2.98384255
2019/I,2.550591502
2018/IV,2.923755035
2018/III,2.742856584
2018/II,2.975384082
2018/I,2.373970345
2017/IV,2.661039117
2017/III,2.529073276
2017/II,2.604668718
2017/I,2.634144248
2016/IV,2.572416765
2016/III,2.564464101
2016/II,2.521791432
2016/I,2.363492618
2015/IV,2.138885652
2015/III,2.302842616
2015/II,2.104919518
2015/I,1.924741485
2014/IV,1.837362004
2014/III,1.793877886
2014/II,1.839598783
2014/I,1.723250943
2013/IV,1.690085802
2013/III,1.809094425
2013/II,1.880791728
2013/I,1.617290561
2012/IV,1.634116524
2012/III,1.807537018
2012/II,2.232186629
2012/I,1.81522897
2011/IV,1.900931834
2011/III,2.064785247
2011/II,1.980994022
2011/I,1.773004101
2010/IV,1.792844538
2010/III,2.128949375
2010/II,2.208123496
2010/I,1.931261382
2009/IV,1.941760177
2009/III,2.347587146
2009/II,2.51249035
2009/I,2.714947322
2008/IV,2.593589757
2008/III,2.114896378
2008/II,2.236252507
2008/I,2.11163269
2007/IV,2.261170985
2007/III,2.652566533
2007/II,2.60566751
2007/I,2.387767737
2006/IV,2.470291934
2006/III,2.727602101
2006/II,2.886894662
2006/I,2.405447959
2005/IV,2.440890629
2005/III,2.58980968
2005/II,2.609195195
2005/I,2.214759505
2004/IV,2.255427386
2004/III,2.603389672
2004/II,2.5491018
2004/I,1.964610229
2003/IV,2.180796231
2003/III,2.277589951
2003/II,2.070937201
2003/I,1.771944251
2002/IV,1.326169868
2002/III,1.338462119
2002/II,1.289504901
2002/I,1.133758266
2001/IV,1.167749372
2001/III,1.227279908
2001/II,1.180548414
2001/I,1.118224163
2000/IV,0.996666088
2000/III,0.953158447
2000/II,0.938325593
2000/I,0.819732504
1999/IV,0.971984045
1999/III,0.980017181
1999/II,1.044668867
1999/I,0.930500745
1998/IV,1.193754957
1998/III,1.136675575
1998/II,1.073682563
1998/I,0.878572142
1997/IV,0.850474759
1997/III,1.016960822
1997/II,1.108561922
1997/I,0.920959981
1996/IV,0.919806614
1996/III,1.059108709
1996/II,1.159734494
1996/I,0.983190719
