Year,Value
2021,39.9758756006301
2020,43.0949896919595
2019,49.1049824697474
2018,49.6195472701407
2017,48.3986677113665
2016,44.6998640093678
2015,43.1357612909042
2014,40.1954101340604
2013,37.8286337011306
2012,36.5342960288809
2011,36.3116511794139
2010,35.0838156779466
2009,29.1851851851852
2008,27.5316752698264
2007,25.2777777777778
2006,24.0235294117647
2005,23.1672932330827
2004,21.593045112782
2003,20.5827067669173
2002,19.4746805489825
2001,17.9951585816752
2000,16.9577558712421
1999,15.7500782396088
1998,15.761265308171
