Year,Entidad federativa,Municipio,Sexo,GeoCode,Value
2017,Ciudad de México,,Total,9,41.19999999999991
2016,Ciudad de México,,Total,9,41.37911490201289
2021,Ciudad de México,,Hombres,9,54.21000000000003
2020,Ciudad de México,,Hombres,9,48.65999999999991
2019,Ciudad de México,,Hombres,9,41.02000000000008
2018,Ciudad de México,,Hombres,9,42.92000000000005
2017,Ciudad de México,,Hombres,9,40.94999999999991
2016,Ciudad de México,,Hombres,9,41.84451832194366
2021,Ciudad de México,,Mujeres,9,48.399999999999935
2020,Ciudad de México,,Mujeres,9,48.109999999999935
2019,Ciudad de México,,Mujeres,9,40.070000000000014
2018,Ciudad de México,,Mujeres,9,41.810000000000045
2017,Ciudad de México,,Mujeres,9,41.57999999999995
2016,Ciudad de México,,Mujeres,9,40.64641137793567
2021,Ciudad de México,Zona Metropolitana del Valle de México,Total,90019013,45.11999999999991
2020,Ciudad de México,Zona Metropolitana del Valle de México,Total,90019013,40.979999999999926
2019,Ciudad de México,Zona Metropolitana del Valle de México,Total,90019013,35.97999999999998
2018,Ciudad de México,Zona Metropolitana del Valle de México,Total,90019013,35.46000000000003
2017,Ciudad de México,Zona Metropolitana del Valle de México,Total,90019013,34.989999999999895
2016,Ciudad de México,Zona Metropolitana del Valle de México,Total,90019013,34.542830945091296
2021,Ciudad de México,Zona Metropolitana del Valle de México,Hombres,90019013,45.97
2020,Ciudad de México,Zona Metropolitana del Valle de México,Hombres,90019013,41.10999999999997
2019,Ciudad de México,Zona Metropolitana del Valle de México,Hombres,90019013,36.69000000000001
2018,Ciudad de México,Zona Metropolitana del Valle de México,Hombres,90019013,35.76000000000011
2017,Ciudad de México,Zona Metropolitana del Valle de México,Hombres,90019013,34.80999999999997
2016,Ciudad de México,Zona Metropolitana del Valle de México,Hombres,90019013,34.97426286222834
2021,Ciudad de México,Zona Metropolitana del Valle de México,Mujeres,90019013,43.739999999999874
2020,Ciudad de México,Zona Metropolitana del Valle de México,Mujeres,90019013,40.78999999999997
2019,Ciudad de México,Zona Metropolitana del Valle de México,Mujeres,90019013,34.75
2018,Ciudad de México,Zona Metropolitana del Valle de México,Mujeres,90019013,34.94000000000003
2017,Ciudad de México,Zona Metropolitana del Valle de México,Mujeres,90019013,35.28999999999997
2016,Ciudad de México,Zona Metropolitana del Valle de México,Mujeres,90019013,33.78159269391378
2021,Durango,,Total,10,37.28000000000005
2020,Durango,,Total,10,36.32000000000004
2019,Durango,,Total,10,34.15999999999995
2018,Durango,,Total,10,30.920000000000048
2017,Durango,,Total,10,30.11999999999992
2016,Durango,,Total,10,28.21121977632035
2021,Durango,,Hombres,10,37.69999999999992
2020,Durango,,Hombres,10,36.13999999999999
2019,Durango,,Hombres,10,34.82000000000006
2018,Durango,,Hombres,10,31.53999999999997
2017,Durango,,Hombres,10,30.420000000000048
2016,Durango,,Hombres,10,28.863435014853263
2021,Durango,,Mujeres,10,36.47999999999998
2020,Durango,,Mujeres,10,36.69000000000001
2019,Durango,,Mujeres,10,32.82000000000007
2018,Durango,,Mujeres,10,29.63000000000008
2017,Durango,,Mujeres,10,29.469999999999928
2016,Durango,,Mujeres,10,26.784110958503327
2021,Durango,Durango,Total,100050001,40.72999999999993
2020,Durango,Durango,Total,100050001,40.44999999999991
