Year,Value
2022,584.0
2021,487.0
2020,464.0
2019,387.0
2018,234.0
2017,211.0
2016,130.0
2015,56.0
2014,31.0
2013,14.0
2012,9.6
2011,2.6
2010,0.7
2009,0.1
