Year,Value
2021,22479.858
2020,20888.683
2019,23217.512
2018,23403.075
2017,23217.661
2016,22832.922
2015,22737.252
2014,22348.586
2013,21755.088
2012,21922.348
2011,21378.083
2010,21017.883
2009,19619.25
2008,22165.813
2007,22817.535
2006,23016.655
2005,22299.733
2004,22118.202
2003,21688.849
