Year,Value
2021,952135750.38
2020,900763162.2
2019,981621387.37146
2018,1001778849.33686
2017,982358861.492341
2016,955445995.878072
2015,934781032.478532
2014,914045411.749932
2013,903395824.590577
2012,893825923.451563
2011,877490325.020613
2010,848014945.216527
