Year,Value
2021,3267132071
2020,2362144296
2019,3928948452
2018,3946731146
2017,3865589551
2016,3776803166
2015,3700056827
2014,3585408132
2013,3507751305
2012,3473858654
2011,3369140147
2010,3262588527
