Value,Disaggregation combinations using this value,Number of indicators
Con nivel de escolaridad Medio superior y superior,33,1
Con nivel de escolaridad no especificado,33,1
Con Primaria completa,33,1
Con Primaria incompleta,33,1
Con Secundaria completa,33,1
En áreas menos urbanizadas,33,1
En áreas más urbanizadas,33,1
