Value,Disaggregation combinations using this value,Number of indicators
Cañitas de Felipe Pescador,8,2
Cedral,8,2
Celaya,8,2
Celestún,8,2
Cenotillo,8,2
Centla,8,2
Centro,8,2
Cerralvo,8,2
Cerritos,8,2
Cerro Azul,8,2
Cerro de San Pedro,8,2
Chacaltianguis,8,2
Chacsinkín,8,2
Chahuites,8,2
Chalcatongo de Hidalgo,8,2
Chalchicomula de Sesma,8,2
Chalchihuites,8,2
Chalchihuitán,8,2
Chalco,8,2
Chalma,8,2
Champotón,8,2
Chamula,8,2
Chanal,8,2
Chankom,8,2
Chapa de Mota,8,2
Chapab,8,2
Chapala,8,2
Chapantongo,8,2
Chapulco,8,2
Chapulhuacán,8,2
Chapultenango,8,2
Chapultepec,8,2
Charapan,8,2
Charcas,8,2
Charo,8,2
Chavinda,8,2
Chemax,8,2
Chenalhó,8,2
Cherán,8,2
Chiapa de Corzo,8,2
Chiapilla,8,2
Chiautempan,8,2
Chiautla,16,2
Chiautzingo,8,2
Chichimilá,8,2
Chichiquila,8,2
Chicoasén,8,2
Chicoloapan,8,2
Chicomuselo,8,2
Chiconamel,8,2
Chiconcuac,8,2
Chiconcuautla,8,2
Chiconquiaco,8,2
Chicontepec,8,2
Chicxulub Pueblo,8,2
Chietla,8,2
Chigmecatitlán,8,2
Chignahuapan,8,2
Chignautla,8,2
Chihuahua,8,2
Chikindzonot,8,2
Chila de la Sal,8,2
Chila,8,2
Chilapa de Álvarez,8,2
Chilchota,8,2
Chilchotla,8,2
Chilcuautla,8,2
Chilpancingo de los Bravo,8,2
Chilón,8,2
Chimalhuacán,8,2
Chimaltitán,8,2
China,8,2
Chinameca,8,2
Chinampa de Gorostiza,8,2
Chinantla,8,2
Chinicuila,8,2
Chiquihuitlán de Benito Juárez,8,2
Chiquilistlán,8,2
Chocamán,8,2
Chocholá,8,2
Choix,8,2
Chontla,8,2
Chucándiro,8,2
Chumatlán,8,2
Chumayel,8,2
Churintzio,8,2
Churumuco,8,2
Chínipas,8,2
Cihuatlán,8,2
Cintalapa,8,2
Citlaltépetl,8,2
Ciudad del Maíz,8,2
Ciudad Fernández,8,2
Ciudad Ixtepec,8,2
Ciudad Madero,8,2
Ciudad Valles,8,2
Ciénega de Flores,8,2
Ciénega de Zimatlán,8,2
Coacalco de Berriozábal,8,2
Coacoatzintla,8,2
Coahuayana,8,2
Coahuayutla de José María Izazaga,8,2
Coahuitlán,8,2
Coalcomán de Vázquez Pallares,8,2
Coapilla,8,2
Coatecas Altas,8,2
Coatepec Harinas,8,2
Coatepec,16,2
Coatetelco,8,2
Coatlán del Río,8,2
Coatzacoalcos,8,2
Coatzingo,8,2
Coatzintla,8,2
Cochoapa el Grande,8,2
Cocotitlán,8,2
Cocula,16,2
Coeneo,8,2
Coetzala,8,2
Cohetzala,8,2
Cohuecan,8,2
Coicoyán de las Flores,8,2
Cojumatlán de Régules,8,2
Colima,8,2
Colipa,8,2
Colotlán,8,2
Colón,8,2
Comala,8,2
Comalcalco,8,2
Comapa,8,2
Comitán de Domínguez,8,2
Comondú,8,2
Comonfort,8,2
Compostela,8,2
Concepción Buenavista,8,2
Concepción de Buenos Aires,8,2
Concepción del Oro,8,2
Concepción Pápalo,8,2
Concordia,8,2
Coneto de Comonfort,8,2
Conkal,8,2
Constancia del Rosario,8,2
Contepec,8,2
Contla de Juan Cuamatzi,8,2
Copainalá,8,2
Copala,8,2
Copalillo,8,2
Copanatoyac,8,2
Copándaro,8,2
Coquimatlán,8,2
Coronado,8,2
Coronango,8,2
Coroneo,8,2
Corregidora,8,2
Cortazar,8,2
Cosalá,8,2
Cosamaloapan de Carpio,8,2
Cosautlán de Carvajal,8,2
Coscomatepec,8,2
Cosolapa,8,2
Cosoleacaque,8,2
Cosoltepec,8,2
Cosío,8,2
Cotaxtla,8,2
Cotija,8,2
Coxcatlán,16,2
Coxquihui,8,2
Coyame del Sotol,8,2
Coyoacán,8,2
Coyomeapan,8,2
Coyotepec,16,2
Coyuca de Benítez,8,2
Coyuca de Catalán,8,2
Coyutla,8,2
Cozumel,8,2
Cruillas,8,2
Cuajimalpa de Morelos,8,2
Cuajinicuilapa,8,2
Cualác,8,2
Cuapiaxtla de Madero,8,2
Cuapiaxtla,8,2
Cuatro Ciénegas,8,2
Cuauhtémoc,32,2
Cuautempan,8,2
Cuautepec de Hinojosa,8,2
Cuautepec,8,2
Cuautinchán,8,2
Cuautitlán de García Barragán,8,2
Cuautitlán Izcalli,8,2
Cuautitlán,8,2
Cuautla,16,2
Cuautlancingo,8,2
Cuaxomulco,8,2
Cuayuca de Andrade,8,2
Cucurpe,8,2
Cuencamé,8,2
Cuernavaca,8,2
Cuerámaro,8,2
Cuetzala del Progreso,8,2
Cuetzalan del Progreso,8,2
Cuichapa,8,2
Cuilápam de Guerrero,8,2
Cuitláhuac,8,2
Cuitzeo,8,2
Culiacán,8,2
Cumpas,8,2
Cuncunul,8,2
Cunduacán,8,2
Cuquío,8,2
Cusihuiriachi,8,2
Cutzamala de Pinzón,8,2
Cuyamecalco Villa de Zaragoza,8,2
Cuyoaco,8,2
Cuzamá,8,2
Cárdenas,16,2
Córdoba,8,2
Degollado,8,2
Del Nayar,8,2
Delicias,8,2
Divisaderos,8,2
Doctor Arroyo,8,2
Doctor Coss,8,2
Doctor González,8,2
Doctor Mora,8,2
Dolores Hidalgo Cuna de la Independencia Nacional,8,2
Domingo Arenas,8,2
Donato Guerra,8,2
Dr. Belisario Domínguez,8,2
Durango,8,2
Dzemul,8,2
Dzidzantún,8,2
Dzilam de Bravo,8,2
Dzilam González,8,2
Dzitbalché,8,2
Dzitás,8,2
Dzoncauich,8,2
Dzán,8,2
Ebano,8,2
Ecatepec de Morelos,8,2
Ecatzingo,8,2
Ecuandureo,8,2
Eduardo Neri,8,2
Ejutla,8,2
El Arenal,16,2
El Barrio de la Soledad,8,2
El Bosque,8,2
El Carmen Tequexquitla,8,2
El Carmen,8,2
El Espinal,8,2
El Fuerte,8,2
El Grullo,8,2
El Higo,8,2
El Limón,8,2
El Llano,8,2
El Mante,8,2
El Marqués,8,2
El Naranjo,8,2
El Oro,16,2
