Value,Disaggregation combinations using this value,Number of indicators
Pátzcuaro,8,2
Pénjamo,8,2
Quecholac,8,2
Quechultenango,8,2
Queréndaro,8,2
Querétaro,8,2
Quimixtlán,8,2
Quintana Roo,8,2
Quiriego,8,2
Quiroga,8,2
Quitupan,8,2
Rafael Delgado,8,2
Rafael Lara Grajales,8,2
Rafael Lucio,8,2
Ramos Arizpe,8,2
Rayones,8,2
Rayón,32,2
Reforma de Pineda,8,2
Reforma,8,2
Reyes Etla,8,2
Reynosa,8,2
Rincón Chamula San Pedro,8,2
Rincón de Romos,8,2
Rioverde,8,2
Riva Palacio,8,2
Rodeo,8,2
Rojas de Cuauhtémoc,8,2
Romita,8,2
Rosales,8,2
Rosamorada,8,2
Rosario,24,2
Ruíz,8,2
Río Blanco,8,2
Río Bravo,8,2
Río Grande,8,2
Río Lagartos,8,2
Sabanilla,8,2
Sabinas Hidalgo,8,2
Sabinas,8,2
Sacalum,8,2
Sacramento,8,2
Sahuaripa,8,2
Sahuayo,8,2
Sain Alto,8,2
Salamanca,8,2
Salina Cruz,8,2
Salinas Victoria,8,2
Salinas,8,2
Saltabarranca,8,2
Saltillo,8,2
Salto de Agua,8,2
Salvador Alvarado,8,2
Salvador Escalante,8,2
Salvatierra,8,2
Samahil,8,2
San Agustín Amatengo,8,2
San Agustín Atenango,8,2
San Agustín Chayuco,8,2
San Agustín de las Juntas,8,2
San Agustín Etla,8,2
San Agustín Loxicha,8,2
San Agustín Metzquititlán,8,2
San Agustín Tlacotepec,8,2
San Agustín Tlaxiaca,8,2
San Agustín Yatareni,8,2
San Andrés Cabecera Nueva,8,2
San Andrés Cholula,8,2
San Andrés Dinicuiti,8,2
San Andrés Duraznal,8,2
San Andrés Huaxpaltepec,8,2
San Andrés Huayápam,8,2
San Andrés Ixtlahuaca,8,2
San Andrés Lagunas,8,2
San Andrés Nuxiño,8,2
San Andrés Paxtlán,8,2
San Andrés Sinaxtla,8,2
San Andrés Solaga,8,2
San Andrés Tenejapan,8,2
San Andrés Teotilálpam,8,2
San Andrés Tepetlapa,8,2
San Andrés Tuxtla,8,2
San Andrés Yaá,8,2
San Andrés Zabache,8,2
San Andrés Zautla,8,2
San Antonino Castillo Velasco,8,2
San Antonino el Alto,8,2
San Antonino Monte Verde,8,2
San Antonio Acutla,8,2
San Antonio Cañada,8,2
San Antonio de la Cal,8,2
San Antonio Huitepec,8,2
San Antonio la Isla,8,2
San Antonio Nanahuatípam,8,2
San Antonio Sinicahua,8,2
San Antonio Tepetlapa,8,2
San Antonio,8,2
San Baltazar Chichicápam,8,2
San Baltazar Loxicha,8,2
San Baltazar Yatzachi el Bajo,8,2
San Bartolo Coyotepec,8,2
San Bartolo Soyaltepec,8,2
San Bartolo Tutotepec,8,2
San Bartolo Yautepec,8,2
San Bartolomé Ayautla,8,2
San Bartolomé Loxicha,8,2
San Bartolomé Quialana,8,2
San Bartolomé Yucuañe,8,2
San Bartolomé Zoogocho,8,2
San Bernardo Mixtepec,8,2
San Bernardo,8,2
San Blas Atempa,8,2
San Blas,8,2
San Buenaventura,8,2
San Carlos Yautepec,8,2
San Carlos,8,2
San Ciro de Acosta,8,2
San Cristóbal Amatlán,8,2
San Cristóbal Amoltepec,8,2
San Cristóbal de la Barranca,8,2
San Cristóbal de las Casas,8,2
San Cristóbal Lachirioag,8,2
San Cristóbal Suchixtlahuaca,8,2
San Damián Texóloc,8,2
San Diego de Alejandría,8,2
San Diego de la Unión,8,2
San Diego la Mesa Tochimiltzingo,8,2
San Dimas,8,2
San Dionisio del Mar,8,2
San Dionisio Ocotepec,8,2
San Dionisio Ocotlán,8,2
San Esteban Atatlahuca,8,2
San Felipe de Jesús,8,2
San Felipe del Progreso,8,2
San Felipe Jalapa de Díaz,8,2
San Felipe Orizatlán,8,2
San Felipe Tejalápam,8,2
San Felipe Teotlalcingo,8,2
San Felipe Tepatlán,8,2
San Felipe Usila,8,2
San Felipe,16,2
San Fernando,16,2
San Francisco Cahuacuá,8,2
San Francisco Cajonos,8,2
San Francisco Chapulapa,8,2
San Francisco Chindúa,8,2
San Francisco de Borja,8,2
San Francisco de Conchos,8,2
San Francisco de los Romo,8,2
San Francisco del Mar,8,2
San Francisco del Oro,8,2
San Francisco del Rincón,8,2
San Francisco Huehuetlán,8,2
San Francisco Ixhuatán,8,2
San Francisco Jaltepetongo,8,2
San Francisco Lachigoló,8,2
San Francisco Logueche,8,2
San Francisco Nuxaño,8,2
San Francisco Ozolotepec,8,2
San Francisco Sola,8,2
San Francisco Telixtlahuaca,8,2
San Francisco Teopan,8,2
San Francisco Tetlanohcan,8,2
San Francisco Tlapancingo,8,2
San Gabriel Chilac,8,2
San Gabriel Mixtepec,8,2
San Gabriel,8,2
San Gregorio Atzompa,8,2
San Ignacio Cerro Gordo,8,2
San Ignacio Río Muerto,8,2
San Ignacio,8,2
San Ildefonso Amatlán,8,2
San Ildefonso Sola,8,2
San Ildefonso Villa Alta,8,2
San Jacinto Amilpas,8,2
San Jacinto Tlacotepec,8,2
San Javier,8,2
San Jerónimo Coatlán,8,2
San Jerónimo Silacayoapilla,8,2
San Jerónimo Sosola,8,2
San Jerónimo Taviche,8,2
San Jerónimo Tecuanipan,8,2
San Jerónimo Tecóatl,8,2
San Jerónimo Tlacochahuaya,8,2
San Jerónimo Xayacatlán,8,2
San Jerónimo Zacualpan,8,2
San Joaquín,8,2
San Jorge Nuchita,8,2
San José Ayuquila,8,2
San José Chiapa,8,2
San José Chiltepec,8,2
San José de Gracia,8,2
San José del Peñasco,8,2
San José del Progreso,8,2
San José del Rincón,8,2
San José Estancia Grande,8,2
San José Independencia,8,2
San José Iturbide,8,2
San José Lachiguiri,8,2
San José Miahuatlán,8,2
San José Teacalco,8,2
San José Tenango,8,2
San Juan Achiutla,8,2
San Juan Atenco,8,2
San Juan Atepec,8,2
San Juan Atzompa,8,2
San Juan Bautista Atatlahuca,8,2
San Juan Bautista Coixtlahuaca,8,2
San Juan Bautista Cuicatlán,8,2
San Juan Bautista Guelache,8,2
San Juan Bautista Jayacatlán,8,2
San Juan Bautista Lo de Soto,8,2
San Juan Bautista Suchitepec,8,2
San Juan Bautista Tlachichilco,8,2
San Juan Bautista Tlacoatzintepec,8,2
San Juan Bautista Tuxtepec,8,2
San Juan Bautista Valle Nacional,8,2
San Juan Cacahuatepec,8,2
San Juan Cancuc,8,2
San Juan Chicomezúchil,8,2
San Juan Chilateca,8,2
San Juan Cieneguilla,8,2
San Juan Coatzóspam,8,2
San Juan Colorado,8,2
San Juan Comaltepec,8,2
San Juan Cotzocón,8,2
San Juan de Guadalupe,8,2
San Juan de los Cués,8,2
San Juan de los Lagos,8,2
San Juan de Sabinas,8,2
San Juan del Estado,8,2
San Juan del Río,24,2
San Juan Diuxi,8,2
San Juan Evangelista Analco,8,2
San Juan Evangelista,8,2
San Juan Guelavía,8,2
San Juan Guichicovi,8,2
San Juan Huactzinco,8,2
San Juan Ihualtepec,8,2
San Juan Juquila Mixes,8,2
San Juan Juquila Vijanos,8,2
San Juan Lachao,8,2
San Juan Lachigalla,8,2
San Juan Lajarcia,8,2
San Juan Lalana,8,2
San Juan Mazatlán,8,2
San Juan Mixtepec -Dto. 08 -,8,2
San Juan Mixtepec -Dto. 26 -,8,2
San Juan Ozolotepec,8,2
San Juan Petlapa,8,2
San Juan Quiahije,8,2
San Juan Quiotepec,8,2
San Juan Sayultepec,8,2
San Juan Tabaá,8,2
San Juan Tamazola,8,2
San Juan Teita,8,2
San Juan Teitipac,8,2
San Juan Tepeuxila,8,2
San Juan Teposcolula,8,2
San Juan Yaeé,8,2
San Juan Yatzona,8,2
San Juan Yucuita,8,2
San Juan Ñumí,8,2
San Juanito de Escobedo,8,2
San Julián,8,2
San Lorenzo Albarradas,8,2
San Lorenzo Axocomanitla,8,2
San Lorenzo Cacaotepec,8,2
San Lorenzo Cuaunecuiltitla,8,2
San Lorenzo Texmelúcan,8,2
San Lorenzo Victoria,8,2
San Lorenzo,8,2
San Lucas Camotlán,8,2
San Lucas Ojitlán,8,2
San Lucas Quiaviní,8,2
San Lucas Tecopilco,8,2
San Lucas Zoquiápam,8,2
San Lucas,16,2
San Luis Acatlán,8,2
San Luis Amatlán,8,2
San Luis de la Paz,8,2
San Luis del Cordero,8,2
San Luis Potosí,8,2
San Luis Río Colorado,8,2
San Marcial Ozolotepec,8,2
San Marcos Arteaga,8,2
San Marcos,16,2
San Martín Chalchicuautla,8,2
San Martín de Bolaños,8,2
San Martín de las Pirámides,8,2
San Martín de los Cansecos,8,2
San Martín Hidalgo,8,2
San Martín Huamelúlpam,7,2
San Martín Itunyoso,8,2
San Martín Lachilá,8,2
San Martín Peras,8,2
San Martín Texmelucan,8,2
San Martín Tilcajete,8,2
San Martín Totoltepec,8,2
San Martín Toxpalan,8,2
San Martín Zacatepec,8,2
San Mateo Atenco,8,2
San Mateo Cajonos,8,2
San Mateo del Mar,8,2
San Mateo Etlatongo,8,2
San Mateo Nejápam,8,2
San Mateo Peñasco,8,2
San Mateo Piñas,8,2
San Mateo Río Hondo,8,2
San Mateo Sindihui,8,2
San Mateo Tlapiltepec,8,2
San Mateo Yoloxochitlán,8,2
San Mateo Yucutindoo,8,2
San Matías Tlalancaleca,8,2
San Melchor Betaza,8,2
San Miguel Achiutla,8,2
San Miguel Ahuehuetitlán,8,2
San Miguel Aloápam,8,2
San Miguel Amatitlán,8,2
San Miguel Amatlán,8,2
San Miguel Chicahua,8,2
San Miguel Chimalapa,8,2
San Miguel Coatlán,8,2
San Miguel de Allende,8,2
San Miguel de Horcasitas,8,2
San Miguel del Puerto,8,2
San Miguel del Río,8,2
San Miguel Ejutla,8,2
San Miguel el Alto,8,2
San Miguel el Grande,8,2
San Miguel Huautla,8,2
San Miguel Ixitlán,8,2
San Miguel Mixtepec,8,2
San Miguel Panixtlahuaca,8,2
San Miguel Peras,8,2
San Miguel Piedras,8,2
San Miguel Quetzaltepec,8,2
San Miguel Santa Flor,8,2
San Miguel Soyaltepec,8,2
San Miguel Suchixtepec,8,2
San Miguel Tecomatlán,8,2
San Miguel Tenango,8,2
San Miguel Tequixtepec,8,2
San Miguel Tilquiápam,8,2
San Miguel Tlacamama,8,2
San Miguel Tlacotepec,8,2
San Miguel Totolapan,8,2
San Miguel Tulancingo,8,2
San Miguel Xoxtla,8,2
San Miguel Yotao,8,2
San Nicolás Buenos Aires,8,2
San Nicolás de los Garza,8,2
San Nicolás de los Ranchos,8,2
San Nicolás Hidalgo,8,2
San Nicolás Tolentino,8,2
San Nicolás,16,2
San Pablo Anicano,8,2
San Pablo Coatlán,8,2
San Pablo Cuatro Venados,8,2
San Pablo del Monte,8,2
San Pablo Etla,8,2
San Pablo Huitzo,8,2
San Pablo Huixtepec,8,2
San Pablo Macuiltianguis,8,2
San Pablo Tijaltepec,8,2
San Pablo Villa de Mitla,8,2
San Pablo Yaganiza,8,2
San Pedro Amuzgos,8,2
San Pedro Apóstol,8,2
San Pedro Atoyac,8,2
San Pedro Cajonos,8,2
San Pedro Cholula,8,2
San Pedro Comitancillo,8,2
San Pedro Coxcaltepec Cántaros,8,2
San Pedro de la Cueva,8,2
San Pedro del Gallo,8,2
San Pedro el Alto,8,2
San Pedro Garza García,8,2
San Pedro Huamelula,8,2
San Pedro Huilotepec,8,2
San Pedro Ixcatlán,8,2
San Pedro Ixtlahuaca,8,2
San Pedro Jaltepetongo,8,2
San Pedro Jicayán,8,2
San Pedro Jocotipac,8,2
San Pedro Juchatengo,8,2
San Pedro Lagunillas,8,2
San Pedro Mixtepec -Dto. 22 -,8,2
San Pedro Mixtepec -Dto. 26 -,8,2
San Pedro Molinos,8,2
San Pedro Mártir Quiechapa,8,2
San Pedro Mártir Yucuxaco,8,2
San Pedro Mártir,8,2
San Pedro Nopala,8,2
San Pedro Ocopetatillo,8,2
San Pedro Ocotepec,8,2
San Pedro Pochutla,8,2
San Pedro Quiatoni,8,2
San Pedro Sochiápam,8,2
San Pedro Tapanatepec,8,2
San Pedro Taviche,8,2
San Pedro Teozacoalco,8,2
San Pedro Teutila,8,2
San Pedro Tidaá,8,2
San Pedro Tlaquepaque,8,2
San Pedro Topiltepec,8,2
San Pedro Totolápam,8,2
San Pedro y San Pablo Ayutla,8,2
San Pedro y San Pablo Teposcolula,8,2
San Pedro y San Pablo Tequixtepec,8,2
San Pedro Yaneri,8,2
San Pedro Yeloixtlahuaca,8,2
San Pedro Yucunama,8,2
San Pedro Yólox,8,2
San Pedro,8,2
San Quintín,8,2
San Rafael,8,2
San Raymundo Jalpan,8,2
San Salvador el Seco,8,2
San Salvador el Verde,8,2
San Salvador Huixcolotla,8,2
San Salvador,8,2
San Sebastián Abasolo,8,2
San Sebastián Coatlán,8,2
San Sebastián del Oeste,8,2
San Sebastián Ixcapa,8,2
San Sebastián Nicananduta,8,2
San Sebastián Río Hondo,8,2
San Sebastián Tecomaxtlahuaca,8,2
San Sebastián Teitipac,8,2
San Sebastián Tlacotepec,8,2
San Sebastián Tutla,8,2
San Simón Almolongas,8,2
San Simón de Guerrero,8,2
San Simón Zahuatlán,8,2
San Vicente Coatlán,8,2
San Vicente Lachixío,8,2
San Vicente Nuñú,8,2
San Vicente Tancuayalab,8,2
Sanahcat,8,2
Sanctórum de Lázaro Cárdenas,8,2
Santa Ana Ateixtlahuaca,8,2
Santa Ana Cuauhtémoc,8,2
Santa Ana del Valle,8,2
Santa Ana Maya,8,2
Santa Ana Nopalucan,8,2
Santa Ana Tavela,8,2
Santa Ana Tlapacoyan,8,2
Santa Ana Yareni,8,2
Santa Ana Zegache,8,2
Santa Ana,16,2
Santa Apolonia Teacalco,8,2
Santa Bárbara,8,2
Santa Catalina Quierí,8,2
Santa Catarina Ayometla,8,2
Santa Catarina Cuixtla,8,2
Santa Catarina Ixtepeji,8,2
Santa Catarina Juquila,8,2
Santa Catarina Lachatao,8,2
Santa Catarina Loxicha,8,2
Santa Catarina Mechoacán,8,2
Santa Catarina Minas,8,2
Santa Catarina Quiané,8,2
Santa Catarina Quioquitani,8,2
Santa Catarina Tayata,8,2
Santa Catarina Ticuá,8,2
Santa Catarina Tlaltempan,8,2
Santa Catarina Yosonotú,8,2
Santa Catarina Zapoquila,8,2
Santa Catarina,24,2
Santa Clara,8,2
Santa Cruz Acatepec,8,2
Santa Cruz Amilpas,8,2
Santa Cruz de Bravo,8,2
Santa Cruz de Juventino Rosas,8,2
Santa Cruz Itundujia,8,2
Santa Cruz Mixtepec,8,2
Santa Cruz Nundaco,8,2
Santa Cruz Papalutla,8,2
Santa Cruz Quilehtla,8,2
Santa Cruz Tacache de Mina,8,2
Santa Cruz Tacahua,8,2
Santa Cruz Tayata,8,2
Santa Cruz Tlaxcala,8,2
Santa Cruz Xitla,8,2
Santa Cruz Xoxocotlán,8,2
Santa Cruz Zenzontepec,8,2
Santa Cruz,8,2
Santa Elena,8,2
Santa Gertrudis,8,2
Santa Inés Ahuatempan,8,2
Santa Inés de Zaragoza,8,2
Santa Inés del Monte,8,2
Santa Inés Yatzeche,8,2
Santa Isabel Cholula,8,2
Santa Isabel Xiloxoxtla,8,2
Santa Isabel,8,2
Santa Lucía del Camino,8,2
Santa Lucía Miahuatlán,8,2
Santa Lucía Monteverde,8,2
Santa Lucía Ocotlán,8,2
Santa Magdalena Jicotlán,8,2
Santa María Alotepec,8,2
Santa María Apazco,8,2
Santa María Atzompa,8,2
Santa María Camotlán,8,2
Santa María Chachoápam,8,2
Santa María Chilchotla,8,2
Santa María Chimalapa,8,2
Santa María Colotepec,8,2
Santa María Cortijo,8,2
Santa María Coyotepec,8,2
Santa María de la Paz,8,2
Santa María de los Ángeles,8,2
Santa María del Oro,16,2
Santa María del Rosario,8,2
Santa María del Río,8,2
Santa María del Tule,8,2
Santa María Ecatepec,8,2
Santa María Guelacé,8,2
Santa María Guienagati,8,2
Santa María Huatulco,8,2
Santa María Huazolotitlán,8,2
Santa María Ipalapa,8,2
Santa María Ixcatlán,8,2
Santa María Jacatepec,8,2
Santa María Jalapa del Marqués,8,2
Santa María Jaltianguis,8,2
Santa María la Asunción,8,2
Santa María Lachixío,8,2
Santa María Mixtequilla,8,2
Santa María Nativitas,8,2
Santa María Nduayaco,8,2
Santa María Ozolotepec,8,2
Santa María Petapa,8,2
Santa María Peñoles,8,2
Santa María Pápalo,8,2
Santa María Quiegolani,8,2
Santa María Sola,8,2
Santa María Tataltepec,8,2
Santa María Tecomavaca,8,2
Santa María Temaxcalapa,8,2
Santa María Temaxcaltepec,8,2
Santa María Teopoxco,8,2
Santa María Tepantlali,8,2
Santa María Texcatitlán,8,2
Santa María Tlahuitoltepec,8,2
Santa María Tlalixtac,8,2
Santa María Tonameca,8,2
Santa María Totolapilla,8,2
Santa María Xadani,8,2
Santa María Yalina,8,2
Santa María Yavesía,8,2
Santa María Yolotepec,8,2
Santa María Yosoyúa,8,2
Santa María Yucuhiti,8,2
Santa María Zacatepec,8,2
Santa María Zaniza,8,2
Santa María Zoquitlán,8,2
Santiago Amoltepec,8,2
Santiago Apoala,8,2
Santiago Apóstol,8,2
Santiago Astata,8,2
Santiago Atitlán,8,2
Santiago Ayuquililla,8,2
Santiago Cacaloxtepec,8,2
Santiago Camotlán,8,2
Santiago Chazumba,8,2
Santiago Choápam,8,2
Santiago Comaltepec,8,2
Santiago de Anaya,8,2
Santiago del Río,8,2
Santiago el Pinar,8,2
Santiago Huajolotitlán,8,2
Santiago Huauclilla,8,2
Santiago Ihuitlán Plumas,8,2
Santiago Ixcuintepec,8,2
Santiago Ixcuintla,8,2
Santiago Ixtayutla,8,2
Santiago Jamiltepec,8,2
Santiago Jocotepec,8,2
Santiago Juxtlahuaca,8,2
Santiago Lachiguiri,8,2
Santiago Lalopa,8,2
Santiago Laollaga,8,2
Santiago Laxopa,8,2
Santiago Llano Grande,8,2
Santiago Maravatío,8,2
Santiago Matatlán,8,2
Santiago Miahuatlán,8,2
Santiago Miltepec,8,2
Santiago Minas,8,2
Santiago Nacaltepec,8,2
Santiago Nejapilla,8,2
Santiago Niltepec,8,2
Santiago Nundiche,8,2
Santiago Nuyoó,8,2
Santiago Papasquiaro,8,2
Santiago Pinotepa Nacional,8,2
Santiago Sochiapan,8,2
Santiago Suchilquitongo,8,2
Santiago Tamazola,8,2
Santiago Tapextla,8,2
Santiago Tenango,8,2
Santiago Tepetlapa,8,2
Santiago Tetepec,8,2
Santiago Texcalcingo,8,2
Santiago Textitlán,8,2
Santiago Tilantongo,8,2
Santiago Tillo,8,2
Santiago Tlazoyaltepec,8,2
Santiago Tulantepec de Lugo Guerrero,8,2
Santiago Tuxtla,8,2
Santiago Xanica,8,2
Santiago Xiacuí,8,2
Santiago Yaitepec,8,2
Santiago Yaveo,8,2
Santiago Yolomécatl,8,2
Santiago Yosondúa,8,2
Santiago Yucuyachi,8,2
Santiago Zacatepec,8,2
Santiago Zoochila,8,2
Santiago,8,2
Santo Domingo Albarradas,8,2
Santo Domingo Armenta,8,2
Santo Domingo Chihuitán,8,2
Santo Domingo de Morelos,8,2
Santo Domingo Ingenio,8,2
Santo Domingo Ixcatlán,8,2
Santo Domingo Nuxaá,8,2
Santo Domingo Ozolotepec,8,2
Santo Domingo Petapa,8,2
Santo Domingo Roayaga,8,2
Santo Domingo Tehuantepec,8,2
Santo Domingo Teojomulco,8,2
Santo Domingo Tepuxtepec,8,2
Santo Domingo Tlatayápam,8,2
Santo Domingo Tomaltepec,8,2
Santo Domingo Tonaltepec,8,2
Santo Domingo Tonalá,8,2
Santo Domingo Xagacía,8,2
Santo Domingo Yanhuitlán,8,2
Santo Domingo Yodohino,8,2
Santo Domingo Zanatepec,8,2
Santo Domingo,8,2
Santo Tomás Hueyotlipan,8,2
Santo Tomás Jalieza,8,2
Santo Tomás Mazaltepec,8,2
Santo Tomás Ocotepec,8,2
Santo Tomás Tamazulapan,8,2
Santo Tomás,8,2
Santos Reyes Nopala,8,2
Santos Reyes Pápalo,8,2
Santos Reyes Tepejillo,8,2
Santos Reyes Yucuná,8,2
Satevó,8,2
Saucillo,8,2
Sayula de Alemán,8,2
Sayula,8,2
Senguio,8,2
Seybaplaya,8,2
Seyé,8,2
Sierra Mojada,8,2
Silacayoápam,8,2
Silao de la Victoria,8,2
Siltepec,8,2
Simojovel,8,2
Sinaloa,8,2
Sinanché,8,2
Singuilucan,8,2
Sitalá,8,2
Sitio de Xitlapehua,8,2
Sochiapa,8,2
Socoltenango,8,2
Soconusco,8,2
Soledad Atzompa,8,2
Soledad de Doblado,8,2
Soledad de Graciano Sánchez,8,2
Soledad Etla,8,2
Solidaridad,8,2
Solosuchiapa,8,2
Soltepec,8,2
Sombrerete,8,2
Soteapan,8,2
Soto la Marina,8,2
Sotuta,8,2
Soyaló,8,2
Soyaniquilpan de Juárez,8,2
Soyopa,8,2
Suaqui Grande,8,2
Suchiapa,8,2
Suchiate,8,2
Sucilá,8,2
Sudzal,8,2
Sultepec,8,2
Suma,8,2
Sunuapa,8,2
Susticacán,8,2
Susupuato,8,2
Sáric,8,2
Súchil,8,2
Tabasco,8,2
Tacotalpa,8,2
Tacámbaro,8,2
Tahdziú,8,2
Tahmek,8,2
Tala,8,2
Talpa de Allende,8,2
Tamalín,8,2
Tamasopo,8,2
Tamazula de Gordiano,8,2
Tamazula,8,2
Tamazulápam del Espíritu Santo,8,2
Tamazunchale,8,2
Tamiahua,8,2
Tampacán,8,2
Tampamolón Corona,8,2
Tampico Alto,8,2
Tampico,8,2
Tamuín,8,2
Tancanhuitz,8,2
Tancoco,8,2
Tancítaro,8,2
Tanetze de Zaragoza,8,2
Tangamandapio,8,2
Tangancícuaro,8,2
Tanhuato,8,2
Taniche,8,2
Tanlajás,8,2
Tanquián de Escobedo,8,2
Tantima,8,2
Tantoyuca,8,2
Tapachula,8,2
Tapalapa,8,2
Tapalpa,8,2
Tapilula,8,2
Tarandacuao,8,2
Taretan,8,2
Tarimoro,8,2
Tarímbaro,8,2
Tasquillo,8,2
Tatahuicapan de Juárez,8,2
Tataltepec de Valdés,8,2
Tatatila,8,2
Taxco de Alarcón,8,2
Teabo,8,2
Teapa,8,2
Tecali de Herrera,8,2
Tecalitlán,8,2
Tecamachalco,8,2
Tecate,8,2
Techaluta de Montenegro,8,2
Tecoanapa,8,2
Tecoh,8,2
Tecolotlán,8,2
Tecolutla,8,2
Tecomatlán,8,2
Tecomán,8,2
Tecozautla,8,2
Tecpatán,8,2
Tecuala,8,2
Tecámac,8,2
Tehuacán,8,2
Tehuipango,8,2
Tehuitzingo,8,2
Tejupilco,8,2
Tekal de Venegas,8,2
Tekantó,8,2
Tekax,8,2
Tekit,8,2
Tekom,8,2
Telchac Pueblo,8,2
Telchac Puerto,8,2
Teloloapan,8,2
Temamatla,8,2
Temascalapa,8,2
Temascalcingo,8,2
Temascaltepec,8,2
Temax,8,2
Temixco,8,2
Temoac,8,2
Temoaya,8,2
Temozón,8,2
Tempoal,8,2
Temósachic,8,2
Tenabo,8,2
Tenamaxtlán,8,2
Tenampa,8,2
Tenampulco,8,2
Tenancingo,16,2
Tenango de Doria,8,2
Tenango del Aire,8,2
Tenango del Valle,8,2
Tenejapa,8,2
Tenochtitlán,8,2
Tenosique,8,2
Teocaltiche,8,2
Teocelo,8,2
Teococuilco de Marcos Pérez,8,2
Teocuitatlán de Corona,8,2
Teolocholco,8,2
Teoloyucan,8,2
Teopantlán,8,2
Teopisca,8,2
Teotihuacán,8,2
Teotitlán de Flores Magón,8,2
Teotitlán del Valle,8,2
Teotlalco,8,2
Teotongo,8,2
Tepache,8,2
Tepakán,8,2
Tepalcatepec,8,2
Tepalcingo,8,2
Tepanco de López,8,2
Tepango de Rodríguez,8,2
Tepatitlán de Morelos,8,2
Tepatlaxco de Hidalgo,8,2
Tepatlaxco,8,2
Tepeaca,8,2
Tepeapulco,8,2
Tepechitlán,8,2
Tepecoacuilco de Trujano,8,2
Tepehuacán de Guerrero,8,2
Tepehuanes,8,2
Tepeji del Río de Ocampo,8,2
Tepelmeme Villa de Morelos,8,2
Tepemaxalco,8,2
Tepeojuma,8,2
Tepetitla de Lardizábal,8,2
Tepetitlán,8,2
Tepetlaoxtoc,8,2
Tepetlixpa,8,2
Tepetlán,8,2
Tepetongo,8,2
Tepetzintla,16,2
Tepexco,8,2
Tepexi de Rodríguez,8,2
Tepeyahualco de Cuauhtémoc,8,2
Tepeyahualco,8,2
Tepeyanco,8,2
Tepezalá,8,2
Tepic,8,2
Tepotzotlán,8,2
Tepoztlán,8,2
Tequila,16,2
Tequisquiapan,8,2
Tequixquiac,8,2
Terrenate,8,2
Tetecala,8,2
Tetela de Ocampo,8,2
Tetela del Volcán,8,2
Teteles de Avila Castillo,8,2
Tetepango,8,2
Tetipac,8,2
Tetiz,8,2
Tetla de la Solidaridad,8,2
Tetlatlahuca,8,2
Teuchitlán,8,2
Texcaltitlán,8,2
Texcalyacac,8,2
Texcatepec,8,2
Texcoco,8,2
Texhuacán,8,2
Texistepec,8,2
Teya,8,2
Teziutlán,8,2
Tezonapa,8,2
Tezontepec de Aldama,8,2
Tezoyuca,8,2
Teúl de González Ortega,8,2
Tianguismanalco,8,2
Tianguistenco,8,2
Tianguistengo,8,2
Ticul,8,2
Tierra Blanca,16,2
Tierra Nueva,8,2
Tihuatlán,8,2
Tijuana,8,2
Tila,8,2
Tilapa,8,2
Timilpan,8,2
Timucuy,8,2
Tingambato,8,2
Tingüindín,8,2
Tinum,8,2
Tiquicheo de Nicolás Romero,8,2
Tixcacalcupul,8,2
Tixkokob,8,2
Tixmehuac,8,2
Tixpéhual,8,2
Tixtla de Guerrero,8,2
Tizapán el Alto,8,2
Tizayuca,8,2
Tizimín,8,2
Tlachichilco,8,2
Tlachichuca,8,2
Tlacoachistlahuaca,8,2
Tlacoapa,8,2
Tlacojalpan,8,2
Tlacolula de Matamoros,8,2
Tlacolulan,8,2
Tlacotalpan,8,2
Tlacotepec de Benito Juárez,8,2
Tlacotepec de Mejía,8,2
Tlacotepec Plumas,8,2
Tlacuilotepec,8,2
Tlahualilo,8,2
Tlahuapan,8,2
Tlahuelilpan,8,2
Tlahuiltepa,8,2
Tlajomulco de Zúñiga,8,2
Tlalchapa,8,2
Tlalixcoyan,8,2
Tlalixtac de Cabrera,8,2
Tlalixtaquilla de Maldonado,8,2
Tlalmanalco,8,2
Tlalnelhuayocan,8,2
Tlalnepantla de Baz,8,2
Tlalnepantla,8,2
Tlalpan,8,2
Tlalpujahua,8,2
Tlaltenango de Sánchez Román,8,2
Tlaltenango,8,2
Tlaltetela,8,2
Tlaltizapán de Zapata,8,2
Tlanalapa,8,2
Tlanchinol,8,2
Tlanepantla,8,2
Tlaola,8,2
Tlapa de Comonfort,8,2
Tlapacoya,8,2
Tlapacoyan,8,2
Tlapanalá,8,2
Tlapehuala,8,2
Tlaquilpa,8,2
Tlaquiltenango,8,2
Tlatlauquitepec,8,2
Tlatlaya,8,2
Tlaxcala,8,2
Tlaxco,16,2
Tlaxcoapan,8,2
Tlayacapan,8,2
Tlazazalca,8,2
Tlilapan,8,2
Tláhuac,8,2
Tocatlán,8,2
Tochimilco,8,2
Tochtepec,8,2
Tocumbo,8,2
Tolcayuca,8,2
Tolimán,16,2
Toluca,8,2
Tomatlán,16,2
Tonalá,16,2
Tonanitla,8,2
Tonatico,8,2
Tonaya,8,2
Tonayán,8,2
Tonila,8,2
Topia,8,2
Torreón,8,2
Totatiche,8,2
Totolac,8,2
Totolapa,8,2
Totolapan,8,2
Totoltepec de Guerrero,8,2
Totontepec Villa de Morelos,8,2
Tototlán,8,2
Totutla,8,2
Trancoso,8,2
Tres Valles,8,2
Trincheras,8,2
Trinidad García de la Cadena,8,2
Trinidad Zaachila,8,2
Tubutama,8,2
Tula de Allende,8,2
Tula,8,2
