Value,Disaggregation combinations using this value,Number of indicators
Sector económico Comercio,33,1
Sector económico Industria,33,1
Sector económico Servicios,33,1
Tamaño Grande,33,1
Tamaño Mediana,33,1
Tamaño Micro,33,1
Tamaño Pequeña,33,1
Total,33,1
