Indicator,Disaggregation combinations using this value
#4-a-1-a,33
#4-a-1-b,33
#4-a-1-c,33
#4-a-1-d1,33
#4-a-1-d2,33
#4-a-1-e,33
#4-a-1-f,33
#4-a-1-g,33
