Value,Disaggregation combinations using this value,Number of indicators
Copiar archivos entre carpetas,82,1
Crear archivos de texto,82,1
Crear hojas de cálculo,82,1
Crear presentaciones,82,1
Crear / usar base de datos,82,1
"Descargar contenidos de Internet (música, videos, documentos, etcétera)",82,1
Enviar y recibir correo electrónico,82,1
"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",82,1
