Indicator,Disaggregation combinations using this value
#1-2-1-a,5
#1-2-2-a,5
#11-1-1,5
#11-n1-1,5
#2-1-2-a,5
#5-5-2,1
#5-b-1,2
#8-5-1a,3
#8-6-1b,9
#9-1-1,5
