Value,Disaggregation combinations using this value,Number of indicators
Cañitas de Felipe Pescador,3,3
Cedral,3,3
Celaya,3,3
Celestún,3,3
Cenotillo,3,3
Centla,3,3
Centro,3,3
Cerralvo,3,3
Cerritos,3,3
Cerro Azul,3,3
Cerro de San Pedro,3,3
Chacaltianguis,3,3
Chacsinkín,3,3
Chahuites,3,3
Chalcatongo de Hidalgo,3,3
Chalchicomula de Sesma,3,3
Chalchihuites,3,3
Chalchihuitán,3,3
Chalco,3,3
Chalma,3,3
Champotón,3,3
Chamula,3,3
Chanal,3,3
Chankom,3,3
Chapa de Mota,3,3
Chapab,3,3
Chapala,3,3
Chapantongo,3,3
Chapulco,3,3
Chapulhuacán,3,3
Chapultenango,3,3
Chapultepec,3,3
Charapan,3,3
Charcas,3,3
Charo,3,3
Chavinda,3,3
Chemax,3,3
Chenalhó,3,3
Cherán,3,3
Chiapa de Corzo,3,3
Chiapilla,3,3
Chiautempan,3,3
Chiautla,6,3
Chiautzingo,3,3
Chichimilá,3,3
Chichiquila,3,3
Chicoasén,3,3
Chicoloapan,3,3
Chicomuselo,3,3
Chiconamel,3,3
Chiconcuac,3,3
Chiconcuautla,3,3
Chiconquiaco,3,3
Chicontepec,3,3
Chicxulub Pueblo,3,3
Chietla,3,3
Chigmecatitlán,3,3
Chignahuapan,3,3
Chignautla,3,3
Chihuahua,3,3
Chikindzonot,3,3
Chila de la Sal,3,3
Chila,3,3
Chilapa de Álvarez,3,3
Chilchota,3,3
Chilchotla,3,3
Chilcuautla,3,3
Chilpancingo de los Bravo,3,3
Chilón,3,3
Chimalhuacán,3,3
Chimaltitán,3,3
China,3,3
Chinameca,3,3
Chinampa de Gorostiza,3,3
Chinantla,3,3
Chinicuila,3,3
Chiquihuitlán de Benito Juárez,3,3
Chiquilistlán,3,3
Chocamán,3,3
Chocholá,3,3
Choix,3,3
Chontla,3,3
Chucándiro,3,3
Chumatlán,3,3
Chumayel,3,3
Churintzio,3,3
Churumuco,3,3
Chínipas,3,3
Cihuatlán,3,3
Cintalapa,3,3
Citlaltépetl,3,3
Ciudad del Maíz,3,3
Ciudad Fernández,3,3
Ciudad Ixtepec,3,3
Ciudad Madero,3,3
Ciudad Valles,3,3
Ciénega de Flores,3,3
Ciénega de Zimatlán,3,3
Coacalco de Berriozábal,3,3
Coacoatzintla,3,3
Coahuayana,3,3
Coahuayutla de José María Izazaga,3,3
Coahuitlán,3,3
Coalcomán de Vázquez Pallares,3,3
Coapilla,3,3
Coatecas Altas,3,3
Coatepec Harinas,3,3
Coatepec,6,3
Coatetelco,3,3
Coatlán del Río,3,3
Coatzacoalcos,3,3
Coatzingo,3,3
Coatzintla,3,3
Cochoapa el Grande,3,3
Cocotitlán,3,3
Cocula,6,3
Coeneo,3,3
Coetzala,3,3
Cohetzala,3,3
Cohuecan,3,3
Coicoyán de las Flores,3,3
Cojumatlán de Régules,3,3
Colima,3,3
Colipa,3,3
Colotlán,3,3
Colón,3,3
Comala,3,3
Comalcalco,3,3
Comapa,3,3
Comitán de Domínguez,3,3
Comondú,3,3
Comonfort,3,3
Compostela,3,3
Concepción Buenavista,3,3
Concepción de Buenos Aires,3,3
Concepción del Oro,3,3
Concepción Pápalo,3,3
Concordia,3,3
Coneto de Comonfort,3,3
Conkal,3,3
Constancia del Rosario,3,3
Contepec,3,3
Contla de Juan Cuamatzi,3,3
Copainalá,3,3
Copala,3,3
Copalillo,3,3
Copanatoyac,3,3
Copándaro,3,3
Coquimatlán,3,3
Coronado,3,3
Coronango,3,3
Coroneo,3,3
Corregidora,3,3
Cortazar,3,3
Cosalá,3,3
Cosamaloapan de Carpio,3,3
Cosautlán de Carvajal,3,3
Coscomatepec,3,3
Cosolapa,3,3
Cosoleacaque,3,3
Cosoltepec,3,3
Cosío,3,3
Cotaxtla,3,3
Cotija,3,3
Coxcatlán,6,3
Coxquihui,3,3
Coyame del Sotol,3,3
Coyoacán,3,3
Coyomeapan,3,3
Coyotepec,6,3
Coyuca de Benítez,3,3
Coyuca de Catalán,3,3
Coyutla,3,3
Cozumel,3,3
Cruillas,3,3
Cuajimalpa de Morelos,3,3
Cuajinicuilapa,3,3
Cualác,3,3
Cuapiaxtla de Madero,3,3
Cuapiaxtla,3,3
Cuatro Ciénegas,3,3
Cuauhtémoc,12,3
Cuautempan,3,3
Cuautepec de Hinojosa,3,3
Cuautepec,3,3
Cuautinchán,3,3
Cuautitlán de García Barragán,3,3
Cuautitlán Izcalli,3,3
Cuautitlán,3,3
Cuautla,6,3
Cuautlancingo,3,3
Cuaxomulco,3,3
Cuayuca de Andrade,3,3
Cucurpe,3,3
Cuencamé,3,3
Cuernavaca,3,3
Cuerámaro,3,3
Cuetzala del Progreso,3,3
Cuetzalan del Progreso,3,3
Cuichapa,3,3
Cuilápam de Guerrero,3,3
Cuitláhuac,3,3
Cuitzeo,3,3
Culiacán,3,3
Cumpas,3,3
Cuncunul,3,3
Cunduacán,3,3
Cuquío,3,3
Cusihuiriachi,3,3
Cutzamala de Pinzón,3,3
Cuyamecalco Villa de Zaragoza,3,3
Cuyoaco,3,3
Cuzamá,3,3
Cárdenas,6,3
Córdoba,3,3
Degollado,3,3
Del Nayar,3,3
Delicias,3,3
Divisaderos,3,3
Doctor Arroyo,3,3
Doctor Coss,3,3
Doctor González,3,3
Doctor Mora,3,3
Dolores Hidalgo Cuna de la Independencia Nacional,3,3
Domingo Arenas,3,3
Donato Guerra,3,3
Dr. Belisario Domínguez,3,3
Durango,3,3
Dzemul,3,3
Dzidzantún,3,3
Dzilam de Bravo,3,3
Dzilam González,3,3
Dzitbalché,3,3
Dzitás,3,3
Dzoncauich,3,3
Dzán,3,3
Ebano,3,3
Ecatepec de Morelos,3,3
Ecatzingo,3,3
Ecuandureo,3,3
Eduardo Neri,3,3
Ejutla,3,3
El Arenal,6,3
El Barrio de la Soledad,3,3
El Bosque,3,3
El Carmen Tequexquitla,3,3
El Carmen,3,3
El Espinal,3,3
El Fuerte,3,3
El Grullo,3,3
El Higo,3,3
El Limón,3,3
El Llano,3,3
El Mante,3,3
El Marqués,3,3
El Naranjo,3,3
El Oro,6,3
El Parral,3,3
El Plateado de Joaquín Amaro,3,3
El Porvenir,3,3
El Salto,3,3
El Salvador,3,3
El Tule,3,3
Elota,3,3
Eloxochitlán de Flores Magón,3,3
Eloxochitlán,6,3
Emiliano Zapata,18,3
Empalme,3,3
Encarnación de Díaz,3,3
Ensenada,3,3
