Value,Disaggregation combinations using this value,Number of indicators
Algas,1,1
Anfibios,1,1
Aves,1,1
Briofitas,1,1
Gimnospermas y Angiospermas,1,1
Hongos,1,1
Invertebrados,1,1
Mamíferos,1,1
Peces,1,1
Pteridofitas,1,1
Reptiles,1,1
