Value,Disaggregation combinations using this value,Number of indicators
Cambió de residencia 1 año,3,1
Nacimiento en otro país,3,1
Nacimiento México,3,1
No cambió de residencia 1 año,3,1
No especificado,3,1
Total,3,1
