Year,Value
2021,7.462266464
2020 P/,-8.867456857
2019,1.538142749
2018,4.134121115
2017,5.798906272
2016,9.147680103
2015,10.9132081
2014,1.698235158
2013,1.41231095
2012,5.981113435
2011,3.495738151
2010,2.804379283
2009,-1.570382441
